Attacked Unit@95973b8at position 1013, 305 at time 1607965644417
Moved to 1386, 241 at time 1607965735587
Moved to 1387, 242 at time 1607965735625
Moved to 1388, 243 at time 1607965735692
Moved to 1389, 244 at time 1607965735728
Moved to 1400, 245 at time 1607965738751
Moved to 1401, 246 at time 1607965739149
Moved to 1402, 247 at time 1607965739571
Moved to 1403, 248 at time 1607965739883
Moved to 1404, 249 at time 1607965739954
Moved to 1405, 250 at time 1607965740343
Moved to 1407, 251 at time 1607965740461
Moved to 1409, 252 at time 1607965740592
Moved to 1408, 263 at time 1607965742578
Moved to 1407, 262 at time 1607965742705
Moved to 1406, 261 at time 1607965742808
Moved to 1405, 260 at time 1607965742926
Moved to 1404, 259 at time 1607965743037
Moved to 1403, 258 at time 1607965743154
Moved to 1402, 257 at time 1607965743260
Moved to 1401, 256 at time 1607965743340
Moved to 1400, 255 at time 1607965743416
Moved to 1399, 254 at time 1607965743633
Moved to 1398, 253 at time 1607965743700
Moved to 1397, 252 at time 1607965744033
Moved to 1396, 251 at time 1607965744113
Moved to 1395, 250 at time 1607965744398
Moved to 1394, 249 at time 1607965744480
Moved to 1393, 248 at time 1607965744771
Moved to 1392, 247 at time 1607965744845
Moved to 1391, 246 at time 1607965745120
Moved to 1389, 245 at time 1607965745498
Moved to 1388, 244 at time 1607965745578
Moved to 1387, 243 at time 1607965745865
Moved to 1386, 242 at time 1607965745946
Moved to 1385, 241 at time 1607965746230
Moved to 1383, 240 at time 1607965746692
Moved to 1382, 239 at time 1607965746885
Moved to 1381, 238 at time 1607965747025
Moved to 1380, 237 at time 1607965747237
Moved to 1378, 236 at time 1607965747632
Moved to 1377, 235 at time 1607965747701
Moved to 1376, 234 at time 1607965747983
Moved to 1375, 233 at time 1607965748051
Moved to 1374, 232 at time 1607965748186
Moved to 1373, 231 at time 1607965748306
Moved to 1371, 230 at time 1607965748511
Moved to 1370, 229 at time 1607965748591
Moved to 1369, 228 at time 1607965748713
Moved to 1368, 227 at time 1607965748832
Moved to 1367, 226 at time 1607965748909
Moved to 1366, 225 at time 1607965748943
Moved to 1365, 224 at time 1607965748990
Moved to 1364, 223 at time 1607965749027
Moved to 1363, 222 at time 1607965749098
Moved to 1362, 221 at time 1607965749213
Moved to 1361, 220 at time 1607965749393
Moved to 1360, 219 at time 1607965749565
Moved to 1359, 218 at time 1607965749765
Moved to 1358, 217 at time 1607965749964
Moved to 1357, 216 at time 1607965750160
Moved to 1356, 215 at time 1607965750363
Moved to 1355, 214 at time 1607965750574
Moved to 1354, 213 at time 1607965750765
Moved to 1353, 212 at time 1607965750972
Moved to 1352, 211 at time 1607965751136
Moved to 1351, 210 at time 1607965751335
Moved to 1350, 209 at time 1607965751517
Moved to 1349, 208 at time 1607965751714
Moved to 1348, 207 at time 1607965751860
Moved to 1347, 206 at time 1607965751969
Moved to 1346, 205 at time 1607965752045
Moved to 1345, 204 at time 1607965752098
Moved to 1344, 203 at time 1607965752158
Moved to 1343, 202 at time 1607965752216
Moved to 1342, 201 at time 1607965752364
Moved to 1341, 200 at time 1607965752548
Moved to 1340, 199 at time 1607965752735
Moved to 1339, 198 at time 1607965752938
Moved to 1338, 197 at time 1607965753128
Moved to 1337, 196 at time 1607965753336
Moved to 1336, 195 at time 1607965753370
Moved to 1335, 194 at time 1607965753473
Moved to 1334, 193 at time 1607965753770
Moved to 1333, 192 at time 1607965753888
Moved to 1332, 191 at time 1607965754169
Moved to 1331, 190 at time 1607965754275
Moved to 1330, 189 at time 1607965754554
Moved to 1329, 188 at time 1607965754664
Moved to 1328, 187 at time 1607965754933
Moved to 1327, 186 at time 1607965755035
Moved to 1326, 185 at time 1607965755303
Moved to 1325, 184 at time 1607965755410
Moved to 1324, 183 at time 1607965755688
Moved to 1323, 182 at time 1607965755796
Moved to 1322, 181 at time 1607965756066
Moved to 1321, 180 at time 1607965756169
Moved to 1320, 179 at time 1607965756449
Moved to 1319, 178 at time 1607965756560
Moved to 1318, 177 at time 1607965756831
Moved to 1317, 176 at time 1607965756903
Moved to 1316, 175 at time 1607965757146
Moved to 1315, 174 at time 1607965757260
Moved to 1314, 173 at time 1607965757520
Moved to 1313, 172 at time 1607965757634
Moved to 1312, 171 at time 1607965757905
Moved to 1311, 170 at time 1607965758031
Moved to 1310, 169 at time 1607965758276
Moved to 1309, 168 at time 1607965758408
Moved to 1308, 167 at time 1607965758685
Moved to 1307, 166 at time 1607965758844
Moved to 1306, 165 at time 1607965759096
Moved to 1305, 164 at time 1607965759236
Moved to 1304, 163 at time 1607965759482
Moved to 1303, 162 at time 1607965759618
Moved to 1302, 161 at time 1607965759861
Moved to 1301, 160 at time 1607965760000
Moved to 1300, 159 at time 1607965760080
Moved to 1299, 158 at time 1607965760116
Moved to 1298, 157 at time 1607965760196
Moved to 1297, 156 at time 1607965760333
Moved to 1296, 155 at time 1607965760484
Moved to 1295, 154 at time 1607965760608
Moved to 1294, 153 at time 1607965760678
Moved to 1293, 152 at time 1607965760763
Moved to 1292, 151 at time 1607965760844
Moved to 1291, 150 at time 1607965760928
Moved to 1290, 149 at time 1607965761008
Moved to 1289, 148 at time 1607965761237
Moved to 1288, 147 at time 1607965761316
Moved to 1287, 146 at time 1607965761535
Moved to 1286, 145 at time 1607965761664
Moved to 1285, 144 at time 1607965761747
Moved to 1284, 143 at time 1607965761784
Moved to 1283, 142 at time 1607965761855
Moved to 1282, 141 at time 1607965761971
Moved to 1281, 140 at time 1607965762022
Moved to 1280, 139 at time 1607965762062
Moved to 1279, 138 at time 1607965762120
Moved to 1278, 137 at time 1607965762164
Moved to 1277, 136 at time 1607965762222
Moved to 1276, 135 at time 1607965762334
Moved to 1275, 134 at time 1607965762396
Moved to 1274, 133 at time 1607965762445
Moved to 1273, 132 at time 1607965762511
Moved to 1272, 131 at time 1607965762630
Moved to 1271, 130 at time 1607965762688
Moved to 1270, 129 at time 1607965762844
Moved to 1269, 128 at time 1607965763174
Moved to 1268, 127 at time 1607965763219
Moved to 1267, 126 at time 1607965763553
Moved to 1266, 125 at time 1607965764001
Moved to 1265, 124 at time 1607965764331
Moved to 1264, 123 at time 1607965764746
Moved to 1263, 122 at time 1607965765093
Moved to 1262, 121 at time 1607965765132
Moved to 1261, 120 at time 1607965765486
Moved to 1260, 119 at time 1607965765902
Moved to 1259, 118 at time 1607965766249
Moved to 1258, 117 at time 1607965766643
Moved to 1257, 116 at time 1607965766955
Moved to 1256, 115 at time 1607965767177
Moved to 1255, 114 at time 1607965767402
Moved to 1254, 113 at time 1607965767722
Moved to 1253, 112 at time 1607965767928
Moved to 1252, 111 at time 1607965768001
