Moved to 1497, 502 at time 1607967152360
Moved to 1496, 501 at time 1607967152532
Moved to 1495, 500 at time 1607967152739
Moved to 1494, 499 at time 1607967152772
Moved to 1493, 498 at time 1607967152886
Moved to 1492, 497 at time 1607967152922
Moved to 1491, 496 at time 1607967153046
Moved to 1490, 495 at time 1607967153081
Moved to 1489, 494 at time 1607967153194
Moved to 1488, 493 at time 1607967153234
Moved to 1487, 492 at time 1607967153268
Moved to 1486, 491 at time 1607967153314
Moved to 1485, 490 at time 1607967153417
Moved to 1484, 489 at time 1607967153601
Moved to 1483, 488 at time 1607967153733
Moved to 1482, 487 at time 1607967153781
Moved to 1481, 486 at time 1607967153910
Moved to 1480, 485 at time 1607967154084
Moved to 1479, 484 at time 1607967154209
Moved to 1478, 483 at time 1607967154393
Moved to 1477, 482 at time 1607967154509
Moved to 1476, 481 at time 1607967154569
Moved to 1475, 480 at time 1607967154768
Moved to 1474, 479 at time 1607967154848
Moved to 1473, 478 at time 1607967155052
Moved to 1472, 477 at time 1607967155153
Moved to 1471, 476 at time 1607967155221
Moved to 1470, 475 at time 1607967155342
Moved to 1469, 474 at time 1607967155402
Moved to 1468, 473 at time 1607967155535
Moved to 1467, 472 at time 1607967155601
Moved to 1466, 471 at time 1607967155682
Moved to 1465, 470 at time 1607967155837
Moved to 1464, 469 at time 1607967155914
