Attacked Unit@7ddeb524at position 738, 12 at time 1607904712234
Moved to 871, 389 at time 1607904765867
Moved to 872, 390 at time 1607904765901
Moved to 873, 391 at time 1607904765937
Moved to 874, 392 at time 1607904765971
Moved to 875, 393 at time 1607904766005
Moved to 876, 394 at time 1607904766073
Moved to 877, 395 at time 1607904766107
Moved to 878, 396 at time 1607904766141
Moved to 879, 397 at time 1607904766176
Moved to 880, 398 at time 1607904766210
Moved to 881, 399 at time 1607904766244
Moved to 882, 400 at time 1607904766279
Moved to 883, 401 at time 1607904766313
Moved to 884, 402 at time 1607904766347
Moved to 885, 403 at time 1607904766381
Moved to 886, 404 at time 1607904766449
Moved to 887, 405 at time 1607904766483
Moved to 888, 406 at time 1607904766518
Moved to 889, 407 at time 1607904766553
Moved to 890, 408 at time 1607904766587
Moved to 891, 409 at time 1607904766623
Moved to 892, 410 at time 1607904766659
Moved to 893, 411 at time 1607904766693
Moved to 894, 412 at time 1607904766727
Moved to 895, 413 at time 1607904766762
Attacked Unit@38b682fbat position 1164, 576 at time 1607904766797
Moved to 896, 414 at time 1607904767174
Moved to 897, 415 at time 1607904767208
Moved to 898, 416 at time 1607904767243
Moved to 899, 417 at time 1607904767277
Moved to 900, 418 at time 1607904767311
Moved to 901, 419 at time 1607904767345
Moved to 902, 420 at time 1607904767379
Moved to 921, 421 at time 1607904768044
Moved to 922, 422 at time 1607904768078
Moved to 923, 423 at time 1607904768125
Moved to 924, 424 at time 1607904768160
