Attacked Unit@aee39bbat position 1552, 411 at time 1607967053425
Got attacked at 1665, 569 by Unit@7fd22736 at time 1607967053429
Got attacked at 1665, 569 by Unit@38ec0804 at time 1607967053497
Got attacked at 1665, 569 by Unit@61cf749d at time 1607967053498
Got attacked at 1665, 569 by Unit@27e8bfab at time 1607967053498
Got attacked at 1665, 569 by Unit@43da1053 at time 1607967053501
Got attacked at 1665, 569 by Unit@13dd7190 at time 1607967053505
Got attacked at 1665, 569 by Unit@28c4d5f3 at time 1607967053506
Got attacked at 1665, 569 by Unit@2012e7bf at time 1607967053506
Got attacked at 1665, 569 by Unit@5c0a5981 at time 1607967053538
Got attacked at 1665, 569 by Unit@17c3616c at time 1607967053539
Got attacked at 1665, 569 by Unit@7c35aaaa at time 1607967053560
Got attacked at 1665, 569 by Unit@965adc7 at time 1607967053579
Got attacked at 1665, 569 by Unit@31864e63 at time 1607967053579
Got attacked at 1665, 569 by Unit@aee39bb at time 1607967053606
Moved to 2719, 1125 at time 1607969417011
Moved to 2718, 1124 at time 1607969417087
Moved to 2717, 1123 at time 1607969417162
Moved to 2716, 1122 at time 1607969417231
Moved to 2715, 1121 at time 1607969417312
Moved to 2714, 1120 at time 1607969417372
Moved to 2713, 1119 at time 1607969417479
Moved to 2712, 1118 at time 1607969417548
Moved to 2711, 1117 at time 1607969417583
Moved to 2710, 1116 at time 1607969417627
Moved to 2709, 1115 at time 1607969417697
Moved to 2708, 1114 at time 1607969417748
Moved to 2707, 1113 at time 1607969417863
Moved to 2706, 1112 at time 1607969417913
Moved to 2705, 1111 at time 1607969418011
Moved to 2704, 1110 at time 1607969418048
Moved to 2703, 1109 at time 1607969418153
Moved to 2702, 1108 at time 1607969418224
Moved to 2701, 1107 at time 1607969418307
Moved to 2700, 1106 at time 1607969418393
Moved to 2699, 1105 at time 1607969418428
Moved to 2698, 1104 at time 1607969418481
Moved to 2697, 1103 at time 1607969418523
Moved to 2696, 1102 at time 1607969418562
Moved to 2695, 1101 at time 1607969418665
Moved to 2694, 1100 at time 1607969418731
Moved to 2693, 1099 at time 1607969418836
Moved to 2692, 1098 at time 1607969418914
Moved to 2691, 1097 at time 1607969419022
Moved to 2690, 1096 at time 1607969419063
Moved to 2689, 1095 at time 1607969419146
Moved to 2688, 1094 at time 1607969419229
Moved to 2687, 1093 at time 1607969419272
Moved to 2686, 1092 at time 1607969419361
Moved to 2685, 1091 at time 1607969419446
Moved to 2684, 1090 at time 1607969419482
Moved to 2683, 1089 at time 1607969419547
Moved to 2682, 1088 at time 1607969419615
Moved to 2681, 1087 at time 1607969419670
Moved to 2680, 1086 at time 1607969419758
Moved to 2679, 1085 at time 1607969419797
Moved to 2678, 1084 at time 1607969419887
Moved to 2677, 1083 at time 1607969419990
Moved to 2676, 1082 at time 1607969420103
Moved to 2675, 1081 at time 1607969420373
Moved to 2674, 1080 at time 1607969420528
Moved to 2673, 1079 at time 1607969420611
Moved to 2672, 1078 at time 1607969420646
Moved to 2671, 1077 at time 1607969420710
Moved to 2670, 1076 at time 1607969420917
Moved to 2669, 1075 at time 1607969421141
Moved to 2668, 1074 at time 1607969421380
Moved to 2667, 1073 at time 1607969421444
Moved to 2666, 1072 at time 1607969421531
Moved to 2665, 1071 at time 1607969421699
Moved to 2664, 1070 at time 1607969421846
Moved to 2663, 1069 at time 1607969421941
Moved to 2662, 1068 at time 1607969422045
Moved to 2661, 1067 at time 1607969422224
Moved to 2660, 1066 at time 1607969422331
Moved to 2659, 1065 at time 1607969422388
Moved to 2658, 1064 at time 1607969422493
Moved to 2657, 1063 at time 1607969422527
Moved to 2656, 1062 at time 1607969422633
Moved to 2655, 1061 at time 1607969422800
Moved to 2654, 1060 at time 1607969422970
Moved to 2653, 1059 at time 1607969423025
Moved to 2652, 1058 at time 1607969423101
Moved to 2651, 1057 at time 1607969423154
Moved to 2650, 1056 at time 1607969423312
Moved to 2649, 1055 at time 1607969423401
Moved to 2648, 1054 at time 1607969423587
Moved to 2647, 1053 at time 1607969423716
Moved to 2646, 1052 at time 1607969423751
Moved to 2645, 1051 at time 1607969423881
Moved to 2644, 1050 at time 1607969424037
Moved to 2643, 1049 at time 1607969424156
Moved to 2642, 1048 at time 1607969424307
Moved to 2641, 1047 at time 1607969424415
Moved to 2640, 1046 at time 1607969424578
Moved to 2639, 1045 at time 1607969424645
Moved to 2638, 1044 at time 1607969424730
Moved to 2637, 1043 at time 1607969424792
Moved to 2636, 1042 at time 1607969424827
Moved to 2635, 1041 at time 1607969425013
Moved to 2634, 1040 at time 1607969425134
Moved to 2633, 1039 at time 1607969425179
Moved to 2632, 1038 at time 1607969425312
Moved to 2631, 1037 at time 1607969425375
Moved to 2630, 1036 at time 1607969425582
Moved to 2629, 1035 at time 1607969425647
Moved to 2628, 1034 at time 1607969425845
Moved to 2627, 1033 at time 1607969425910
Moved to 2626, 1032 at time 1607969426142
Moved to 2625, 1031 at time 1607969426241
Moved to 2624, 1030 at time 1607969426414
Moved to 2623, 1029 at time 1607969426505
Moved to 2622, 1028 at time 1607969426667
Moved to 2621, 1027 at time 1607969426763
Moved to 2620, 1026 at time 1607969426872
Moved to 2619, 1025 at time 1607969426960
Moved to 2618, 1024 at time 1607969427000
Moved to 2617, 1023 at time 1607969427037
Moved to 2616, 1022 at time 1607969427117
Moved to 2615, 1021 at time 1607969427152
Moved to 2614, 1020 at time 1607969427248
Moved to 2613, 1019 at time 1607969427327
Moved to 2612, 1018 at time 1607969427383
Moved to 2611, 1017 at time 1607969427426
Moved to 2610, 1016 at time 1607969427481
Moved to 2609, 1015 at time 1607969427516
Moved to 2608, 1014 at time 1607969427607
Moved to 2607, 1013 at time 1607969427671
Moved to 2606, 1012 at time 1607969427733
Moved to 2605, 1011 at time 1607969427771
Moved to 2604, 1010 at time 1607969427815
Moved to 2603, 1009 at time 1607969427853
Moved to 2602, 1008 at time 1607969427912
Moved to 2601, 1007 at time 1607969427964
Moved to 2600, 1006 at time 1607969427999
Moved to 2599, 1005 at time 1607969428042
Moved to 2598, 1004 at time 1607969428096
Moved to 2597, 1003 at time 1607969428152
Moved to 2596, 1002 at time 1607969428233
Moved to 2595, 1001 at time 1607969428340
Moved to 2594, 1000 at time 1607969428432
Moved to 2593, 999 at time 1607969428534
Moved to 2592, 998 at time 1607969428659
Moved to 2591, 997 at time 1607969428934
Moved to 2590, 996 at time 1607969429215
Moved to 2589, 995 at time 1607969429412
Moved to 2588, 994 at time 1607969429716
Moved to 2587, 993 at time 1607969429945
Moved to 2586, 992 at time 1607969430150
Moved to 2585, 991 at time 1607969430253
Moved to 2584, 990 at time 1607969430435
Moved to 2583, 989 at time 1607969430661
Moved to 2582, 988 at time 1607969430927
Moved to 2581, 987 at time 1607969431050
Moved to 2580, 986 at time 1607969431208
Moved to 2579, 985 at time 1607969431371
Moved to 2578, 984 at time 1607969431423
Moved to 2577, 983 at time 1607969431503
Moved to 2576, 982 at time 1607969431593
Moved to 2575, 981 at time 1607969431634
