Attacked Unit@44f7debfat position 1665, 569 at time 1607967053579
Moved to 1532, 392 at time 1607967124457
Moved to 1531, 391 at time 1607967124557
Moved to 1530, 390 at time 1607967124641
Moved to 1529, 389 at time 1607967124740
Moved to 1528, 388 at time 1607967124867
Moved to 1527, 387 at time 1607967124966
Moved to 1526, 386 at time 1607967125085
Moved to 1525, 385 at time 1607967125177
Moved to 1524, 384 at time 1607967125262
Moved to 1523, 383 at time 1607967125358
Moved to 1522, 382 at time 1607967125435
Moved to 1521, 381 at time 1607967125524
Moved to 1520, 380 at time 1607967125615
Moved to 1519, 379 at time 1607967125721
Moved to 1518, 378 at time 1607967125811
Moved to 1517, 377 at time 1607967125919
