Attacked Unit@7043bb2fat position 527, 1241 at time 1607970488546
Moved to 617, 1101 at time 1607970559945
Moved to 616, 1100 at time 1607970559981
Moved to 613, 1099 at time 1607970560091
Moved to 612, 1098 at time 1607970560128
Moved to 611, 1099 at time 1607970560167
Moved to 609, 1100 at time 1607970560240
Moved to 608, 1099 at time 1607970560277
Moved to 607, 1100 at time 1607970560314
Moved to 606, 1101 at time 1607970560348
Moved to 605, 1100 at time 1607970560383
Moved to 602, 1101 at time 1607970560521
Moved to 601, 1102 at time 1607970560558
Moved to 600, 1103 at time 1607970560594
Moved to 599, 1104 at time 1607970560630
Moved to 598, 1103 at time 1607970560665
Moved to 597, 1104 at time 1607970560703
Moved to 596, 1105 at time 1607970560737
Moved to 595, 1106 at time 1607970560774
Moved to 594, 1105 at time 1607970560842
Moved to 593, 1104 at time 1607970560876
Moved to 591, 1103 at time 1607970560945
Moved to 590, 1104 at time 1607970560982
Moved to 588, 1105 at time 1607970561051
Moved to 587, 1106 at time 1607970561086
Moved to 586, 1107 at time 1607970561124
Moved to 585, 1106 at time 1607970561160
Moved to 584, 1107 at time 1607970561329
Moved to 583, 1106 at time 1607970561367
Moved to 582, 1105 at time 1607970561402
Moved to 581, 1104 at time 1607970561439
Moved to 580, 1105 at time 1607970561474
Moved to 579, 1106 at time 1607970561510
Moved to 578, 1105 at time 1607970561547
Moved to 577, 1106 at time 1607970561588
Moved to 576, 1107 at time 1607970561625
Moved to 575, 1108 at time 1607970561660
Moved to 574, 1109 at time 1607970561696
Moved to 573, 1110 at time 1607970561730
Moved to 572, 1109 at time 1607970561764
Moved to 571, 1110 at time 1607970561798
Moved to 570, 1109 at time 1607970561832
Moved to 569, 1110 at time 1607970561866
Moved to 568, 1111 at time 1607970561933
Moved to 567, 1112 at time 1607970561969
Moved to 566, 1113 at time 1607970562003
Moved to 565, 1114 at time 1607970562038
Moved to 564, 1115 at time 1607970562073
Moved to 563, 1116 at time 1607970562107
Moved to 562, 1117 at time 1607970562144
Moved to 561, 1118 at time 1607970562178
Moved to 560, 1119 at time 1607970562213
Moved to 559, 1118 at time 1607970562249
Moved to 558, 1119 at time 1607970562316
Moved to 557, 1118 at time 1607970562351
Moved to 556, 1117 at time 1607970562386
Moved to 555, 1118 at time 1607970562421
Moved to 554, 1117 at time 1607970562457
Moved to 553, 1118 at time 1607970562492
Moved to 552, 1117 at time 1607970562527
Moved to 551, 1118 at time 1607970562561
Moved to 550, 1119 at time 1607970562595
Moved to 549, 1120 at time 1607970562631
Moved to 548, 1119 at time 1607970562667
Moved to 547, 1120 at time 1607970562701
Moved to 546, 1119 at time 1607970562736
Moved to 545, 1120 at time 1607970562772
Moved to 544, 1119 at time 1607970562806
Moved to 543, 1118 at time 1607970562842
Moved to 542, 1119 at time 1607970562876
Moved to 541, 1120 at time 1607970562913
Moved to 540, 1121 at time 1607970562948
Moved to 539, 1120 at time 1607970562983
Moved to 538, 1119 at time 1607970563018
Moved to 537, 1118 at time 1607970563058
Moved to 536, 1117 at time 1607970563092
Moved to 535, 1116 at time 1607970563127
Moved to 534, 1115 at time 1607970563164
Moved to 533, 1114 at time 1607970563199
Moved to 532, 1113 at time 1607970563233
Moved to 531, 1114 at time 1607970563267
Moved to 530, 1113 at time 1607970563304
Moved to 528, 1119 at time 1607970566046
Moved to 527, 1120 at time 1607970566081
Moved to 526, 1121 at time 1607970566116
Moved to 525, 1119 at time 1607970566185
Moved to 523, 1120 at time 1607970566254
Moved to 522, 1120 at time 1607970566359
Moved to 521, 1121 at time 1607970566428
Moved to 522, 1135 at time 1607970567934
Moved to 523, 1136 at time 1607970567968
Moved to 522, 1135 at time 1607970568002
Moved to 521, 1134 at time 1607970568038
