Attacked Unit@95973b8at position 1013, 305 at time 1607965644421
Moved to 1056, 220 at time 1607965723156
Moved to 1057, 221 at time 1607965723515
Moved to 1058, 222 at time 1607965724028
Moved to 1059, 223 at time 1607965724531
Moved to 1060, 224 at time 1607965725007
Moved to 1061, 225 at time 1607965725504
Moved to 1062, 226 at time 1607965725921
Moved to 1063, 227 at time 1607965725959
Moved to 1064, 228 at time 1607965726387
Moved to 1065, 229 at time 1607965726422
Moved to 1066, 230 at time 1607965726855
Moved to 1067, 231 at time 1607965727300
Moved to 1068, 232 at time 1607965727736
Moved to 1069, 233 at time 1607965727772
Moved to 1070, 234 at time 1607965728194
Moved to 1071, 235 at time 1607965728663
Moved to 1072, 236 at time 1607965729126
Moved to 1073, 237 at time 1607965729161
Moved to 1074, 238 at time 1607965729523
Moved to 1075, 239 at time 1607965729658
Moved to 1076, 240 at time 1607965729759
Moved to 1077, 241 at time 1607965729892
Moved to 1078, 242 at time 1607965730185
Moved to 1079, 243 at time 1607965730652
Moved to 1080, 244 at time 1607965731057
Moved to 1081, 245 at time 1607965731411
Moved to 1082, 246 at time 1607965731506
Moved to 1083, 247 at time 1607965731633
Moved to 1084, 248 at time 1607965731726
Moved to 1085, 249 at time 1607965731853
Moved to 1086, 250 at time 1607965731937
Moved to 1087, 251 at time 1607965732058
Moved to 1088, 252 at time 1607965732206
Moved to 1089, 253 at time 1607965732324
Moved to 1090, 254 at time 1607965732448
Moved to 1091, 255 at time 1607965732640
Moved to 1092, 256 at time 1607965732726
Moved to 1093, 257 at time 1607965733028
Moved to 1094, 258 at time 1607965733142
Moved to 1095, 259 at time 1607965733458
Moved to 1096, 260 at time 1607965733559
Moved to 1097, 261 at time 1607965733889
Moved to 1098, 262 at time 1607965734004
Moved to 1099, 263 at time 1607965734317
Moved to 1100, 264 at time 1607965734419
Moved to 1101, 265 at time 1607965734728
Moved to 1102, 266 at time 1607965734791
Moved to 1103, 267 at time 1607965734903
Moved to 1104, 268 at time 1607965735077
Moved to 1105, 269 at time 1607965735168
Moved to 1106, 270 at time 1607965735202
Moved to 1107, 271 at time 1607965735277
Moved to 1108, 272 at time 1607965735415
Moved to 1109, 273 at time 1607965735486
Moved to 1110, 274 at time 1607965735620
Moved to 1111, 275 at time 1607965735698
Moved to 1112, 276 at time 1607965735836
Moved to 1113, 277 at time 1607965735912
Moved to 1114, 278 at time 1607965736235
Moved to 1115, 279 at time 1607965736673
Moved to 1116, 280 at time 1607965736876
Moved to 1117, 281 at time 1607965737104
Moved to 1118, 282 at time 1607965737140
Moved to 1119, 283 at time 1607965737499
Moved to 1120, 284 at time 1607965737534
Moved to 1121, 285 at time 1607965737933
Moved to 1122, 286 at time 1607965738334
Moved to 1123, 287 at time 1607965738746
Moved to 1124, 288 at time 1607965739153
Moved to 1125, 289 at time 1607965739525
Moved to 1126, 290 at time 1607965739927
Moved to 1127, 291 at time 1607965740277
Moved to 1128, 292 at time 1607965740457
Moved to 1129, 293 at time 1607965740550
Moved to 1130, 294 at time 1607965740587
Moved to 1131, 295 at time 1607965740675
Moved to 1132, 296 at time 1607965740791
Moved to 1133, 297 at time 1607965741047
Moved to 1134, 298 at time 1607965741161
Moved to 1135, 299 at time 1607965741265
Moved to 1136, 300 at time 1607965741317
Moved to 1138, 301 at time 1607965741645
Moved to 1140, 302 at time 1607965742131
Moved to 1141, 303 at time 1607965742168
Moved to 1142, 304 at time 1607965742255
Moved to 1143, 305 at time 1607965742352
Moved to 1144, 306 at time 1607965742433
Moved to 1145, 307 at time 1607965742507
Moved to 1144, 306 at time 1607965742555
Moved to 1143, 305 at time 1607965742615
Moved to 1142, 304 at time 1607965742667
Moved to 1141, 303 at time 1607965742727
Moved to 1140, 302 at time 1607965742780
Moved to 1139, 301 at time 1607965742840
Moved to 1138, 300 at time 1607965742898
Moved to 1137, 299 at time 1607965742953
Moved to 1136, 298 at time 1607965743011
Moved to 1135, 297 at time 1607965743065
Moved to 1134, 296 at time 1607965743123
Moved to 1133, 295 at time 1607965743179
Moved to 1132, 294 at time 1607965743236
Moved to 1131, 293 at time 1607965743279
Moved to 1130, 292 at time 1607965743319
Moved to 1129, 291 at time 1607965743364
Moved to 1128, 290 at time 1607965743507
Moved to 1127, 289 at time 1607965743864
Moved to 1126, 288 at time 1607965744278
Moved to 1125, 287 at time 1607965744607
Moved to 1124, 286 at time 1607965745002
Moved to 1123, 285 at time 1607965745337
Moved to 1122, 284 at time 1607965745729
Moved to 1121, 283 at time 1607965746076
Moved to 1120, 282 at time 1607965746458
Moved to 1119, 281 at time 1607965746772
Moved to 1118, 280 at time 1607965747141
Moved to 1117, 279 at time 1607965747491
Moved to 1116, 278 at time 1607965747525
Moved to 1115, 277 at time 1607965747814
Moved to 1114, 276 at time 1607965747880
Moved to 1113, 275 at time 1607965748128
Moved to 1112, 274 at time 1607965748250
Moved to 1111, 273 at time 1607965748356
Moved to 1110, 272 at time 1607965748466
Moved to 1109, 271 at time 1607965748549
Moved to 1108, 270 at time 1607965748583
Moved to 1107, 269 at time 1607965748721
Moved to 1106, 268 at time 1607965748828
Moved to 1105, 267 at time 1607965748916
Moved to 1104, 266 at time 1607965749012
Moved to 1103, 265 at time 1607965749133
Moved to 1102, 264 at time 1607965749183
Moved to 1101, 263 at time 1607965749556
Moved to 1100, 262 at time 1607965749783
Moved to 1099, 261 at time 1607965749951
Moved to 1098, 260 at time 1607965750179
Moved to 1097, 259 at time 1607965750345
Moved to 1096, 258 at time 1607965750584
Moved to 1095, 257 at time 1607965750759
Moved to 1094, 256 at time 1607965750971
Moved to 1093, 255 at time 1607965751141
Moved to 1092, 254 at time 1607965751332
Moved to 1091, 253 at time 1607965751522
Moved to 1090, 252 at time 1607965751711
Moved to 1089, 251 at time 1607965751747
Moved to 1088, 250 at time 1607965751833
Moved to 1087, 249 at time 1607965751985
Moved to 1086, 248 at time 1607965752027
Moved to 1085, 247 at time 1607965752112
Moved to 1084, 246 at time 1607965752291
Moved to 1083, 245 at time 1607965752622
Moved to 1082, 244 at time 1607965752666
Moved to 1081, 243 at time 1607965753019
Moved to 1080, 242 at time 1607965753061
Moved to 1079, 241 at time 1607965753402
Moved to 1078, 240 at time 1607965753445
Moved to 1077, 239 at time 1607965753802
Moved to 1076, 238 at time 1607965753858
Moved to 1075, 237 at time 1607965754202
Moved to 1074, 236 at time 1607965754239
Moved to 1073, 235 at time 1607965754601
Moved to 1072, 234 at time 1607965754997
Moved to 1071, 233 at time 1607965755353
Moved to 1070, 232 at time 1607965755750
Moved to 1069, 231 at time 1607965755784
Moved to 1068, 230 at time 1607965756081
Moved to 1067, 229 at time 1607965756161
Moved to 1066, 228 at time 1607965756461
Moved to 1065, 227 at time 1607965756546
Moved to 1064, 226 at time 1607965756848
Moved to 1063, 225 at time 1607965756893
Moved to 1062, 224 at time 1607965757162
Moved to 1061, 223 at time 1607965757583
Moved to 1060, 222 at time 1607965757964
Moved to 1059, 221 at time 1607965758344
Moved to 1058, 220 at time 1607965758762
Moved to 1057, 219 at time 1607965759171
Moved to 1056, 218 at time 1607965759538
Moved to 1055, 217 at time 1607965759945
Moved to 1054, 216 at time 1607965760105
Moved to 1053, 215 at time 1607965760203
Moved to 1052, 214 at time 1607965760327
Moved to 1051, 213 at time 1607965760419
Moved to 1050, 212 at time 1607965760555
Moved to 1049, 211 at time 1607965760592
Moved to 1048, 210 at time 1607965760691
Moved to 1047, 209 at time 1607965760749
Moved to 1046, 208 at time 1607965760783
Moved to 1045, 207 at time 1607965760825
Moved to 1044, 206 at time 1607965760913
Moved to 1043, 205 at time 1607965761022
Moved to 1042, 204 at time 1607965761205
Moved to 1041, 203 at time 1607965761351
Moved to 1040, 202 at time 1607965761480
Moved to 1039, 201 at time 1607965761525
Moved to 1038, 200 at time 1607965761576
Moved to 1037, 199 at time 1607965761620
Moved to 1036, 198 at time 1607965761680
Moved to 1035, 197 at time 1607965761734
Moved to 1034, 196 at time 1607965761799
Moved to 1033, 195 at time 1607965761844
Moved to 1032, 194 at time 1607965761899
Moved to 1031, 193 at time 1607965762014
Moved to 1030, 192 at time 1607965762071
Moved to 1029, 191 at time 1607965762114
Moved to 1028, 190 at time 1607965762172
Moved to 1027, 189 at time 1607965762216
Moved to 1026, 188 at time 1607965762263
Moved to 1025, 187 at time 1607965762300
Moved to 1024, 186 at time 1607965762340
Moved to 1023, 185 at time 1607965762388
Moved to 1022, 184 at time 1607965762423
Moved to 1021, 183 at time 1607965762531
Moved to 1020, 182 at time 1607965762614
Moved to 1019, 181 at time 1607965762705
Moved to 1018, 180 at time 1607965762804
Moved to 1017, 179 at time 1607965762864
Moved to 1016, 178 at time 1607965763161
Moved to 1015, 177 at time 1607965763239
Moved to 1014, 176 at time 1607965763532
Moved to 1013, 175 at time 1607965763613
Moved to 1012, 174 at time 1607965763940
Moved to 1011, 173 at time 1607965764030
Moved to 1010, 172 at time 1607965764296
Moved to 1009, 171 at time 1607965764396
Moved to 1008, 170 at time 1607965764680
Moved to 1007, 169 at time 1607965764771
Moved to 1006, 168 at time 1607965765066
