Attacked Unit@786bb298at position 1015, 776 at time 1607905322025
Moved to 848, 582 at time 1607905478518
Moved to 847, 581 at time 1607905478592
Moved to 846, 580 at time 1607905478676
Moved to 845, 579 at time 1607905478737
Moved to 844, 578 at time 1607905478809
Moved to 843, 577 at time 1607905478888
Moved to 842, 576 at time 1607905478959
Moved to 841, 575 at time 1607905479025
Moved to 840, 574 at time 1607905479127
Moved to 839, 573 at time 1607905479227
Moved to 838, 572 at time 1607905479293
Moved to 837, 571 at time 1607905479369
Moved to 836, 570 at time 1607905479436
Moved to 835, 569 at time 1607905479488
Moved to 834, 568 at time 1607905479550
Moved to 833, 567 at time 1607905479620
Got attacked at 821, 567 by Unit@1a18967c at time 1607905480437
Got attacked at 811, 567 by Unit@1a18967c at time 1607905482104
Got attacked at 811, 567 by Unit@2b222fba at time 1607905482238
Got attacked at 811, 567 by Unit@464a9b1e at time 1607905482295
Got attacked at 811, 567 by Unit@d612739 at time 1607905482536
Moved to 807, 566 at time 1607905483839
Moved to 806, 565 at time 1607905483896
Got attacked at 806, 565 by Unit@2b222fba at time 1607905483928
Moved to 805, 564 at time 1607905483959
Got attacked at 805, 564 by Unit@464a9b1e at time 1607905484004
Moved to 804, 563 at time 1607905484022
Died at 804, 563 at time 1607905484023
