Attacked Unit@95973b8at position 1013, 305 at time 1607965644436
Moved to 1107, 424 at time 1607965731140
Moved to 1108, 425 at time 1607965731375
Moved to 1109, 426 at time 1607965731422
Moved to 1110, 427 at time 1607965731500
Moved to 1111, 428 at time 1607965731639
Moved to 1112, 429 at time 1607965731720
Moved to 1113, 430 at time 1607965731857
Moved to 1114, 431 at time 1607965731939
Moved to 1115, 432 at time 1607965732056
Moved to 1116, 433 at time 1607965732142
Moved to 1117, 434 at time 1607965732273
Moved to 1118, 435 at time 1607965732311
Moved to 1119, 436 at time 1607965732461
Attacked Unit@e08a423at position 1388, 680 at time 1607965732611
Got attacked at 1119, 436 by Unit@e08a423 at time 1607965732672
Got attacked at 1119, 436 by Unit@e08a423 at time 1607965734374
Attacked Unit@e08a423at position 1388, 680 at time 1607965734485
Attacked Unit@e08a423at position 1388, 680 at time 1607965736227
Moved to 1120, 437 at time 1607965736679
Moved to 1121, 438 at time 1607965736873
Moved to 1122, 439 at time 1607965737110
Moved to 1123, 440 at time 1607965737556
Moved to 1124, 441 at time 1607965737912
Moved to 1125, 442 at time 1607965737960
Moved to 1126, 443 at time 1607965738304
Moved to 1127, 444 at time 1607965738759
Moved to 1128, 445 at time 1607965739143
Moved to 1129, 446 at time 1607965739534
Moved to 1130, 447 at time 1607965739922
Moved to 1131, 448 at time 1607965740281
Moved to 1132, 449 at time 1607965740455
Moved to 1133, 450 at time 1607965740551
Moved to 1134, 451 at time 1607965740700
Moved to 1135, 452 at time 1607965740761
Moved to 1136, 453 at time 1607965740837
Moved to 1137, 454 at time 1607965741013
Moved to 1138, 455 at time 1607965741076
Moved to 1139, 456 at time 1607965741131
Moved to 1140, 457 at time 1607965741179
Attacked Unit@b78191eat position 1409, 606 at time 1607965741230
Moved to 1139, 456 at time 1607965742548
Moved to 1138, 455 at time 1607965742621
Moved to 1137, 454 at time 1607965742661
Moved to 1136, 453 at time 1607965742731
Moved to 1135, 452 at time 1607965742772
Moved to 1134, 451 at time 1607965742849
Moved to 1133, 450 at time 1607965742887
Moved to 1132, 449 at time 1607965742964
Moved to 1131, 448 at time 1607965743110
Moved to 1130, 447 at time 1607965743189
Moved to 1129, 446 at time 1607965743224
Moved to 1128, 445 at time 1607965743291
Moved to 1127, 444 at time 1607965743387
Moved to 1126, 443 at time 1607965743448
Moved to 1125, 442 at time 1607965743560
Moved to 1124, 441 at time 1607965743788
Moved to 1123, 440 at time 1607965743964
Moved to 1122, 439 at time 1607965744180
Moved to 1121, 438 at time 1607965744331
Moved to 1120, 437 at time 1607965744553
Moved to 1119, 436 at time 1607965744703
Moved to 1118, 435 at time 1607965744925
Moved to 1117, 434 at time 1607965745058
Moved to 1116, 433 at time 1607965745280
Moved to 1115, 432 at time 1607965745316
Moved to 1114, 431 at time 1607965745388
Moved to 1113, 430 at time 1607965745681
Moved to 1112, 429 at time 1607965745754
Moved to 1111, 428 at time 1607965746057
Moved to 1110, 427 at time 1607965746113
Moved to 1109, 426 at time 1607965746417
Moved to 1108, 425 at time 1607965746477
Moved to 1107, 424 at time 1607965746515
Moved to 1106, 423 at time 1607965746720
Moved to 1105, 422 at time 1607965746840
Moved to 1104, 421 at time 1607965747070
Moved to 1103, 420 at time 1607965747200
Moved to 1102, 419 at time 1607965747416
Moved to 1101, 418 at time 1607965747563
Moved to 1100, 417 at time 1607965747776
Moved to 1099, 416 at time 1607965747915
Moved to 1098, 415 at time 1607965748109
Moved to 1097, 414 at time 1607965748153
Moved to 1096, 413 at time 1607965748233
Moved to 1095, 412 at time 1607965748370
Moved to 1094, 411 at time 1607965748450
Moved to 1093, 410 at time 1607965748562
