Attacked Unit@67299314at position 669, 305 at time 1607905322130
Moved to 501, 165 at time 1607905475506
Moved to 502, 166 at time 1607905475571
Moved to 503, 167 at time 1607905475608
Moved to 504, 168 at time 1607905475666
Moved to 505, 169 at time 1607905475704
Moved to 506, 177 at time 1607905476173
Moved to 507, 178 at time 1607905476247
Moved to 508, 179 at time 1607905476318
Moved to 509, 180 at time 1607905476358
Moved to 510, 181 at time 1607905476436
Moved to 511, 182 at time 1607905476504
Moved to 512, 183 at time 1607905476553
Moved to 513, 184 at time 1607905476609
Moved to 514, 185 at time 1607905476661
Moved to 515, 186 at time 1607905476743
Moved to 516, 187 at time 1607905476804
Moved to 517, 188 at time 1607905476842
Moved to 518, 189 at time 1607905476879
Moved to 519, 190 at time 1607905476939
Moved to 520, 191 at time 1607905476976
Moved to 521, 192 at time 1607905477037
Moved to 522, 193 at time 1607905477087
Moved to 523, 194 at time 1607905477147
Moved to 524, 195 at time 1607905477191
Moved to 525, 196 at time 1607905477233
Moved to 526, 197 at time 1607905477282
Moved to 527, 199 at time 1607905477374
Moved to 528, 200 at time 1607905477409
Moved to 529, 201 at time 1607905477458
Moved to 530, 202 at time 1607905477517
Moved to 531, 203 at time 1607905477580
Moved to 532, 205 at time 1607905477653
Moved to 533, 206 at time 1607905477709
Moved to 534, 207 at time 1607905477769
Moved to 538, 221 at time 1607905479981
Moved to 539, 222 at time 1607905480021
Moved to 540, 223 at time 1607905480077
Moved to 541, 224 at time 1607905480126
Moved to 542, 225 at time 1607905480176
Moved to 543, 226 at time 1607905480225
Moved to 544, 227 at time 1607905480261
Moved to 545, 228 at time 1607905480308
Moved to 546, 229 at time 1607905480371
Moved to 547, 230 at time 1607905480411
Moved to 548, 231 at time 1607905480453
Moved to 549, 232 at time 1607905480503
Moved to 550, 233 at time 1607905480559
Moved to 551, 234 at time 1607905480613
Moved to 552, 235 at time 1607905480653
Moved to 553, 236 at time 1607905480695
Moved to 554, 237 at time 1607905480742
Moved to 555, 238 at time 1607905480792
Moved to 556, 239 at time 1607905480838
Moved to 557, 240 at time 1607905480892
Moved to 581, 259 at time 1607905483340
Moved to 582, 260 at time 1607905483395
Moved to 583, 261 at time 1607905483445
Moved to 584, 262 at time 1607905483494
Moved to 585, 263 at time 1607905483538
Moved to 586, 264 at time 1607905483572
Moved to 587, 265 at time 1607905483608
Attacked Unit@c9deb08at position 827, 547 at time 1607905484273
Moved to 588, 279 at time 1607905485337
Moved to 589, 281 at time 1607905485412
Moved to 590, 282 at time 1607905485457
Moved to 591, 283 at time 1607905485507
Moved to 592, 284 at time 1607905485551
Moved to 593, 285 at time 1607905485601
Moved to 594, 286 at time 1607905485669
Moved to 595, 287 at time 1607905485717
Moved to 596, 306 at time 1607905486524
Moved to 597, 307 at time 1607905486562
Moved to 598, 308 at time 1607905486605
Moved to 599, 309 at time 1607905486657
Moved to 600, 310 at time 1607905486695
Moved to 601, 311 at time 1607905486729
Moved to 602, 312 at time 1607905486775
Moved to 603, 313 at time 1607905486823
Moved to 604, 314 at time 1607905486873
Moved to 605, 315 at time 1607905486913
Attacked Unit@308e4b4at position 874, 529 at time 1607905486983
Attacked Unit@308e4b4at position 845, 500 at time 1607905488646
Moved to 606, 316 at time 1607905488680
Moved to 607, 317 at time 1607905488746
Moved to 608, 318 at time 1607905488781
Moved to 609, 319 at time 1607905488825
Moved to 610, 320 at time 1607905488862
Moved to 611, 321 at time 1607905488898
Moved to 612, 322 at time 1607905488944
Moved to 613, 323 at time 1607905488980
Moved to 614, 324 at time 1607905489022
Got attacked at 615, 324 by Unit@3435eb5 at time 1607905489529
Attacked Unit@3435eb5at position 884, 296 at time 1607905490346
Got attacked at 615, 324 by Unit@7ad76446 at time 1607905490646
Got attacked at 615, 324 by Unit@5489d7f9 at time 1607905490677
Got attacked at 615, 324 by Unit@3435eb5 at time 1607905491228
Attacked Unit@5489d7f9at position 884, 475 at time 1607905492045
Got attacked at 615, 324 by Unit@7ad76446 at time 1607905492328
Got attacked at 615, 324 by Unit@5489d7f9 at time 1607905492370
Attacked Unit@7ad76446at position 884, 384 at time 1607905493734
Got attacked at 615, 324 by Unit@7ad76446 at time 1607905494014
Died at 615, 324 at time 1607905494043
