Attacked Unit@4829a628at position 808, 126 at time 1607904712118
Moved to 2322, 746 at time 1607968264229
Moved to 2321, 745 at time 1607968264373
Moved to 2320, 744 at time 1607968264412
Moved to 2319, 743 at time 1607968264582
Moved to 2318, 744 at time 1607968264624
Moved to 2317, 745 at time 1607968264814
Moved to 2316, 744 at time 1607968264863
Moved to 2315, 743 at time 1607968265050
Moved to 2314, 742 at time 1607968265303
Moved to 2313, 741 at time 1607968265494
Moved to 2312, 742 at time 1607968265722
Moved to 2311, 741 at time 1607968265929
Moved to 2310, 740 at time 1607968266164
Moved to 2309, 741 at time 1607968266351
Moved to 2308, 740 at time 1607968266446
Moved to 2307, 739 at time 1607968266480
Moved to 2306, 740 at time 1607968266517
Moved to 2305, 741 at time 1607968266554
Moved to 2304, 740 at time 1607968266594
Moved to 2303, 739 at time 1607968266636
Moved to 2302, 740 at time 1607968266682
Moved to 2301, 741 at time 1607968266723
Moved to 2300, 740 at time 1607968266856
Moved to 2299, 739 at time 1607968266890
Moved to 2298, 740 at time 1607968266993
Moved to 2297, 741 at time 1607968267037
Moved to 2296, 740 at time 1607968267143
Moved to 2295, 739 at time 1607968267216
Moved to 2294, 738 at time 1607968267332
Moved to 2293, 737 at time 1607968267427
Moved to 2292, 736 at time 1607968267512
Moved to 2291, 737 at time 1607968267615
Moved to 2290, 736 at time 1607968267668
Moved to 2289, 737 at time 1607968267773
Moved to 2288, 736 at time 1607968267874
Moved to 2287, 735 at time 1607968267936
Moved to 2286, 736 at time 1607968268000
Moved to 2285, 735 at time 1607968268107
Moved to 2284, 734 at time 1607968268176
Moved to 2283, 735 at time 1607968268253
Moved to 2282, 734 at time 1607968268319
Moved to 2281, 733 at time 1607968268386
Got attacked at 2281, 733 by Unit@454342cf at time 1607968268418
Attacked Unit@454342cfat position 2096, 464 at time 1607968268456
Got attacked at 2281, 733 by Unit@454342cf at time 1607968270120
Attacked Unit@454342cfat position 2096, 464 at time 1607968270176
Got attacked at 2281, 733 by Unit@454342cf at time 1607968271831
Attacked Unit@454342cfat position 2096, 464 at time 1607968271877
Got attacked at 2281, 733 by Unit@454342cf at time 1607968273577
Attacked Unit@454342cfat position 2096, 464 at time 1607968273660
Attacked Unit@454342cfat position 2096, 464 at time 1607968275263
Got attacked at 2281, 733 by Unit@454342cf at time 1607968275281
Moved to 2280, 732 at time 1607968275480
Moved to 2281, 731 at time 1607968275678
Moved to 2280, 732 at time 1607968275727
Moved to 2279, 731 at time 1607968275943
Moved to 2278, 732 at time 1607968276008
Moved to 2277, 731 at time 1607968276242
Moved to 2276, 730 at time 1607968276470
Moved to 2277, 729 at time 1607968276640
Moved to 2278, 728 at time 1607968276700
Moved to 2277, 727 at time 1607968276931
Moved to 2278, 726 at time 1607968276967
Moved to 2277, 727 at time 1607968277138
Moved to 2276, 726 at time 1607968277269
Moved to 2277, 725 at time 1607968277313
Moved to 2276, 724 at time 1607968277362
Moved to 2275, 725 at time 1607968277501
Moved to 2274, 724 at time 1607968277535
Moved to 2275, 723 at time 1607968277665
Moved to 2274, 724 at time 1607968277736
Moved to 2273, 723 at time 1607968277772
Moved to 2274, 722 at time 1607968277806
Moved to 2275, 721 at time 1607968277891
Moved to 2274, 722 at time 1607968278018
Moved to 2273, 721 at time 1607968278058
Moved to 2272, 720 at time 1607968278158
Moved to 2271, 719 at time 1607968278207
Moved to 2272, 718 at time 1607968278288
Moved to 2271, 717 at time 1607968278338
Moved to 2270, 718 at time 1607968278389
Moved to 2271, 717 at time 1607968278431
Moved to 2270, 716 at time 1607968278465
Attacked Unit@2dc6bdc8at position 2099, 447 at time 1607968278594
Got attacked at 2270, 716 by Unit@2dc6bdc8 at time 1607968279234
Attacked Unit@2dc6bdc8at position 2099, 447 at time 1607968280204
Got attacked at 2270, 716 by Unit@2dc6bdc8 at time 1607968280932
Died at 2270, 716 at time 1607968280969
