Attacked Unit@786bb298at position 1015, 776 at time 1607905322031
Moved to 864, 519 at time 1607905487534
Moved to 863, 518 at time 1607905487589
Moved to 862, 517 at time 1607905487645
Got attacked at 862, 517 by Unit@5f263cb0 at time 1607905487678
Moved to 861, 516 at time 1607905487697
Moved to 860, 515 at time 1607905487759
Moved to 859, 514 at time 1607905487814
Moved to 858, 513 at time 1607905487875
Moved to 857, 512 at time 1607905487938
Moved to 856, 511 at time 1607905487994
Moved to 855, 510 at time 1607905488064
Moved to 854, 509 at time 1607905488117
Got attacked at 854, 509 by Unit@11800769 at time 1607905488141
Moved to 853, 508 at time 1607905488171
Moved to 852, 507 at time 1607905488227
Moved to 851, 506 at time 1607905488281
Moved to 850, 505 at time 1607905488339
Got attacked at 850, 505 by Unit@4924f422 at time 1607905488379
Moved to 849, 504 at time 1607905488390
Moved to 848, 503 at time 1607905488444
Moved to 847, 502 at time 1607905488497
Moved to 846, 501 at time 1607905488551
Moved to 845, 500 at time 1607905488611
Got attacked at 845, 500 by Unit@427e07a1 at time 1607905488646
Got attacked at 845, 500 by Unit@633b79eb at time 1607905488661
Moved to 844, 499 at time 1607905488673
Died at 844, 499 at time 1607905488673
