Attacked Unit@95973b8at position 1013, 305 at time 1607965644552
Moved to 1048, 492 at time 1607965755740
Moved to 1047, 491 at time 1607965756152
Moved to 1046, 490 at time 1607965756472
Moved to 1045, 489 at time 1607965756535
Moved to 1044, 488 at time 1607965756862
Moved to 1043, 487 at time 1607965757210
Moved to 1042, 486 at time 1607965757574
Moved to 1041, 485 at time 1607965757968
Moved to 1040, 484 at time 1607965758338
Moved to 1039, 483 at time 1607965758765
Moved to 1038, 482 at time 1607965759166
Moved to 1037, 481 at time 1607965759547
Moved to 1036, 480 at time 1607965759937
Moved to 1035, 479 at time 1607965759972
Moved to 1034, 478 at time 1607965760094
Moved to 1033, 477 at time 1607965760215
Moved to 1032, 476 at time 1607965760314
Moved to 1031, 475 at time 1607965760434
Moved to 1030, 474 at time 1607965760546
Moved to 1029, 473 at time 1607965760647
Moved to 1028, 472 at time 1607965760720
Moved to 1027, 471 at time 1607965760809
Moved to 1026, 470 at time 1607965760879
