Attacked Unit@786bb298at position 1015, 776 at time 1607905321962
Moved to 610, 509 at time 1607905505520
Moved to 609, 508 at time 1607905505554
Moved to 608, 507 at time 1607905505589
Moved to 607, 506 at time 1607905505626
Moved to 606, 505 at time 1607905505660
Moved to 605, 504 at time 1607905505697
Moved to 604, 503 at time 1607905505731
Moved to 603, 502 at time 1607905505765
Moved to 602, 501 at time 1607905505800
Moved to 601, 500 at time 1607905505834
Moved to 600, 499 at time 1607905505868
Moved to 599, 498 at time 1607905505903
Moved to 598, 497 at time 1607905505937
Moved to 597, 496 at time 1607905505973
Moved to 596, 495 at time 1607905506008
Moved to 595, 493 at time 1607905506079
Moved to 594, 492 at time 1607905506113
Moved to 593, 491 at time 1607905506148
Moved to 592, 490 at time 1607905506183
Moved to 591, 489 at time 1607905506217
Moved to 590, 488 at time 1607905506251
Moved to 589, 487 at time 1607905506285
Moved to 588, 485 at time 1607905506353
Moved to 587, 484 at time 1607905506388
Moved to 586, 482 at time 1607905506460
Moved to 585, 481 at time 1607905506494
Moved to 584, 480 at time 1607905506529
Moved to 583, 479 at time 1607905506563
Moved to 582, 478 at time 1607905506598
Moved to 581, 477 at time 1607905506634
Moved to 580, 475 at time 1607905506703
Moved to 579, 474 at time 1607905506739
Moved to 578, 473 at time 1607905506775
Moved to 577, 472 at time 1607905506842
Moved to 576, 471 at time 1607905506876
Moved to 575, 470 at time 1607905506911
Moved to 574, 469 at time 1607905506945
Moved to 573, 468 at time 1607905506979
Moved to 572, 467 at time 1607905507013
Moved to 571, 466 at time 1607905507047
Moved to 570, 465 at time 1607905507081
Moved to 569, 464 at time 1607905507116
Moved to 568, 463 at time 1607905507151
Moved to 567, 462 at time 1607905507185
Moved to 566, 461 at time 1607905507219
Moved to 565, 460 at time 1607905507254
Moved to 564, 459 at time 1607905507288
Moved to 563, 458 at time 1607905507322
Moved to 562, 457 at time 1607905507356
Moved to 561, 455 at time 1607905507458
Moved to 560, 454 at time 1607905507492
Moved to 559, 453 at time 1607905507526
Moved to 558, 452 at time 1607905507560
Moved to 557, 451 at time 1607905507595
Moved to 556, 450 at time 1607905507629
Moved to 555, 449 at time 1607905507664
Moved to 554, 448 at time 1607905507698
Moved to 553, 447 at time 1607905507732
Moved to 552, 445 at time 1607905507801
Moved to 551, 444 at time 1607905507869
Moved to 550, 443 at time 1607905507903
Moved to 549, 442 at time 1607905507937
Moved to 548, 441 at time 1607905507971
Moved to 547, 440 at time 1607905508005
Moved to 546, 439 at time 1607905508039
Moved to 545, 438 at time 1607905508073
Moved to 544, 437 at time 1607905508108
Moved to 543, 436 at time 1607905508142
Moved to 542, 435 at time 1607905508176
Moved to 541, 434 at time 1607905508210
Moved to 540, 432 at time 1607905508279
Moved to 539, 431 at time 1607905508313
Moved to 538, 430 at time 1607905508347
Moved to 537, 429 at time 1607905508381
Moved to 536, 428 at time 1607905508415
Moved to 535, 427 at time 1607905508449
Moved to 534, 426 at time 1607905508483
Moved to 533, 425 at time 1607905508517
Moved to 532, 424 at time 1607905508551
Moved to 531, 423 at time 1607905508585
Moved to 530, 422 at time 1607905508652
Moved to 529, 421 at time 1607905508686
Moved to 528, 420 at time 1607905508720
Moved to 527, 419 at time 1607905508754
Moved to 526, 418 at time 1607905508788
Moved to 525, 417 at time 1607905508822
Moved to 524, 416 at time 1607905508856
Moved to 523, 415 at time 1607905508891
Moved to 522, 414 at time 1607905508926
Moved to 521, 413 at time 1607905508961
Moved to 520, 411 at time 1607905509029
Moved to 519, 410 at time 1607905509064
Moved to 518, 409 at time 1607905509098
Moved to 517, 408 at time 1607905509135
Moved to 516, 407 at time 1607905509169
Moved to 515, 406 at time 1607905509236
Moved to 514, 405 at time 1607905509270
Moved to 513, 404 at time 1607905509306
Moved to 512, 403 at time 1607905509376
Moved to 511, 402 at time 1607905509411
Moved to 510, 401 at time 1607905509447
Moved to 509, 400 at time 1607905509481
Moved to 508, 399 at time 1607905509515
Moved to 507, 398 at time 1607905509549
Moved to 506, 397 at time 1607905509616
Moved to 505, 395 at time 1607905509686
Moved to 504, 394 at time 1607905509722
Moved to 503, 393 at time 1607905509756
Moved to 502, 392 at time 1607905509823
Moved to 501, 375 at time 1607905510508
Moved to 500, 374 at time 1607905510543
Moved to 499, 373 at time 1607905510578
Moved to 498, 353 at time 1607905511330
Moved to 497, 352 at time 1607905511364
Moved to 496, 351 at time 1607905511431
Moved to 495, 350 at time 1607905511465
Moved to 494, 349 at time 1607905511499
Moved to 493, 348 at time 1607905511533
Moved to 492, 347 at time 1607905511568
Moved to 491, 346 at time 1607905511602
Moved to 490, 345 at time 1607905511636
Moved to 489, 344 at time 1607905511670
Moved to 488, 343 at time 1607905511704
Moved to 487, 342 at time 1607905511738
Moved to 486, 341 at time 1607905511805
Moved to 485, 340 at time 1607905511839
Moved to 484, 339 at time 1607905511873
Moved to 483, 338 at time 1607905511907
Moved to 482, 337 at time 1607905511942
Moved to 481, 336 at time 1607905511976
Moved to 480, 335 at time 1607905512010
Moved to 479, 334 at time 1607905512044
Moved to 478, 320 at time 1607905512622
Moved to 477, 319 at time 1607905512656
Moved to 476, 318 at time 1607905512690
Moved to 475, 317 at time 1607905512724
Moved to 474, 316 at time 1607905512758
Moved to 473, 315 at time 1607905512793
Moved to 472, 314 at time 1607905512827
Moved to 471, 313 at time 1607905512895
Moved to 470, 312 at time 1607905512930
Moved to 469, 311 at time 1607905512965
Moved to 468, 310 at time 1607905512999
Moved to 467, 309 at time 1607905513033
