Attacked Unit@28c4d5f3at position 1592, 414 at time 1607967053426
Moved to 1760, 1044 at time 1607969422663
Moved to 1759, 1043 at time 1607969422767
Moved to 1758, 1042 at time 1607969422808
Moved to 1757, 1041 at time 1607969422899
Moved to 1756, 1040 at time 1607969422957
Moved to 1755, 1039 at time 1607969423033
Moved to 1754, 1038 at time 1607969423093
Moved to 1753, 1037 at time 1607969423161
Moved to 1752, 1036 at time 1607969423300
Moved to 1751, 1035 at time 1607969423422
Moved to 1750, 1034 at time 1607969423573
Moved to 1749, 1033 at time 1607969423735
Moved to 1748, 1032 at time 1607969423905
Moved to 1747, 1031 at time 1607969424015
Moved to 1746, 1030 at time 1607969424170
Moved to 1745, 1029 at time 1607969424291
Moved to 1744, 1028 at time 1607969424435
Moved to 1743, 1027 at time 1607969424560
Moved to 1742, 1026 at time 1607969424597
Moved to 1741, 1025 at time 1607969424775
Moved to 1740, 1024 at time 1607969424908
Moved to 1739, 1023 at time 1607969425084
Moved to 1738, 1022 at time 1607969425225
Moved to 1737, 1021 at time 1607969425493
Moved to 1736, 1020 at time 1607969425734
Moved to 1735, 1019 at time 1607969426028
Moved to 1734, 1018 at time 1607969426167
Moved to 1733, 1017 at time 1607969426213
Moved to 1732, 1016 at time 1607969426438
Moved to 1731, 1015 at time 1607969426477
Moved to 1730, 1014 at time 1607969426512
Moved to 1729, 1013 at time 1607969426662
Moved to 1728, 1012 at time 1607969426774
Moved to 1727, 1011 at time 1607969426867
Moved to 1726, 1010 at time 1607969426963
Moved to 1725, 1009 at time 1607969426998
Moved to 1724, 1008 at time 1607969427041
Moved to 1723, 1007 at time 1607969427131
Moved to 1722, 1006 at time 1607969427197
Moved to 1721, 1005 at time 1607969427266
Moved to 1720, 1004 at time 1607969427311
Moved to 1719, 1003 at time 1607969427352
Moved to 1718, 1002 at time 1607969427405
Moved to 1717, 1001 at time 1607969427439
Moved to 1716, 1000 at time 1607969427515
Moved to 1715, 999 at time 1607969427609
Moved to 1714, 998 at time 1607969427668
Moved to 1713, 997 at time 1607969427734
Moved to 1712, 996 at time 1607969427769
Moved to 1711, 995 at time 1607969427818
Moved to 1710, 994 at time 1607969427899
Moved to 1709, 993 at time 1607969427977
Moved to 1708, 992 at time 1607969428026
Moved to 1707, 991 at time 1607969428064
Moved to 1706, 990 at time 1607969428132
Moved to 1705, 989 at time 1607969428288
Moved to 1704, 988 at time 1607969428483
Moved to 1703, 987 at time 1607969428518
Moved to 1702, 986 at time 1607969428785
Moved to 1701, 985 at time 1607969428899
Moved to 1700, 984 at time 1607969429026
Moved to 1699, 983 at time 1607969429151
Moved to 1698, 982 at time 1607969429242
Moved to 1697, 981 at time 1607969429378
Moved to 1696, 980 at time 1607969429508
Moved to 1695, 979 at time 1607969429643
Moved to 1694, 978 at time 1607969429779
Moved to 1693, 977 at time 1607969429883
Moved to 1692, 976 at time 1607969429918
Moved to 1691, 975 at time 1607969429975
Moved to 1690, 974 at time 1607969430132
Moved to 1689, 973 at time 1607969430269
Moved to 1688, 972 at time 1607969430403
Moved to 1687, 971 at time 1607969430453
Moved to 1686, 970 at time 1607969430640
Moved to 1685, 969 at time 1607969430695
Moved to 1684, 968 at time 1607969430903
Moved to 1683, 967 at time 1607969431070
Moved to 1682, 966 at time 1607969431190
Moved to 1681, 965 at time 1607969431344
Moved to 1680, 964 at time 1607969431456
Moved to 1679, 963 at time 1607969431561
Moved to 1678, 962 at time 1607969431598
Moved to 1677, 961 at time 1607969431780
Moved to 1676, 960 at time 1607969431926
Moved to 1675, 959 at time 1607969432071
Moved to 1674, 958 at time 1607969432206
Moved to 1673, 957 at time 1607969432376
Moved to 1672, 956 at time 1607969432641
Moved to 1671, 955 at time 1607969432867
Moved to 1670, 954 at time 1607969433035
Moved to 1669, 953 at time 1607969433137
Moved to 1668, 952 at time 1607969433177
Moved to 1667, 951 at time 1607969433276
Moved to 1666, 950 at time 1607969433421
Moved to 1665, 949 at time 1607969433608
Moved to 1664, 948 at time 1607969433682
Moved to 1663, 947 at time 1607969433777
Moved to 1662, 946 at time 1607969433850
Moved to 1661, 945 at time 1607969433929
Moved to 1660, 944 at time 1607969433976
Moved to 1659, 943 at time 1607969434061
Moved to 1658, 942 at time 1607969434105
Moved to 1657, 941 at time 1607969434230
Moved to 1656, 940 at time 1607969434270
Moved to 1655, 939 at time 1607969434355
Moved to 1654, 938 at time 1607969434394
Moved to 1653, 937 at time 1607969434495
Moved to 1652, 936 at time 1607969434535
Moved to 1651, 935 at time 1607969434619
Moved to 1650, 934 at time 1607969434792
Moved to 1649, 933 at time 1607969434874
Moved to 1648, 932 at time 1607969434934
Moved to 1647, 931 at time 1607969435033
Moved to 1646, 930 at time 1607969435085
Moved to 1645, 929 at time 1607969435148
Moved to 1644, 928 at time 1607969435198
Moved to 1643, 927 at time 1607969435256
Moved to 1642, 926 at time 1607969435311
Moved to 1641, 925 at time 1607969435376
Moved to 1640, 924 at time 1607969435423
Moved to 1639, 923 at time 1607969435555
Moved to 1638, 922 at time 1607969435638
Moved to 1637, 921 at time 1607969435678
Moved to 1636, 920 at time 1607969435775
Moved to 1635, 919 at time 1607969435841
Moved to 1634, 918 at time 1607969435886
Moved to 1633, 917 at time 1607969435925
Moved to 1632, 916 at time 1607969435987
Moved to 1631, 915 at time 1607969436021
Moved to 1630, 914 at time 1607969436090
Moved to 1629, 913 at time 1607969436162
Moved to 1628, 912 at time 1607969436196
Moved to 1627, 911 at time 1607969436232
Moved to 1626, 910 at time 1607969436278
Moved to 1625, 909 at time 1607969436342
Moved to 1624, 908 at time 1607969436411
Moved to 1623, 907 at time 1607969436450
Moved to 1622, 906 at time 1607969436513
Moved to 1621, 905 at time 1607969436564
Moved to 1620, 904 at time 1607969436604
Moved to 1619, 903 at time 1607969436683
Moved to 1618, 902 at time 1607969436806
Moved to 1617, 901 at time 1607969436861
Moved to 1616, 900 at time 1607969436928
Moved to 1615, 899 at time 1607969436965
Moved to 1614, 898 at time 1607969437015
Moved to 1613, 897 at time 1607969437063
Moved to 1612, 896 at time 1607969437114
Moved to 1611, 895 at time 1607969437158
Moved to 1610, 894 at time 1607969437210
Moved to 1609, 893 at time 1607969437271
Moved to 1608, 892 at time 1607969437330
Moved to 1607, 891 at time 1607969437406
Moved to 1606, 890 at time 1607969437486
Moved to 1605, 889 at time 1607969437522
Moved to 1604, 888 at time 1607969437613
Moved to 1603, 887 at time 1607969437696
Moved to 1602, 886 at time 1607969437776
Moved to 1601, 885 at time 1607969437874
Moved to 1600, 884 at time 1607969437912
Moved to 1599, 883 at time 1607969437987
Moved to 1598, 882 at time 1607969438023
Moved to 1597, 881 at time 1607969438111
Moved to 1596, 880 at time 1607969438281
Moved to 1595, 879 at time 1607969438477
Moved to 1594, 878 at time 1607969438512
Moved to 1593, 877 at time 1607969438554
Moved to 1592, 876 at time 1607969438622
Moved to 1591, 875 at time 1607969438703
Moved to 1590, 874 at time 1607969438874
Moved to 1589, 873 at time 1607969438950
Moved to 1588, 872 at time 1607969439093
Moved to 1587, 871 at time 1607969439167
Moved to 1586, 870 at time 1607969439318
Moved to 1585, 869 at time 1607969439415
Moved to 1584, 868 at time 1607969439553
Moved to 1583, 867 at time 1607969439790
Moved to 1582, 866 at time 1607969439993
Moved to 1581, 865 at time 1607969440166
Moved to 1580, 864 at time 1607969440204
Moved to 1579, 863 at time 1607969440276
Moved to 1578, 862 at time 1607969440316
Moved to 1577, 861 at time 1607969440385
Moved to 1576, 860 at time 1607969440419
Moved to 1575, 859 at time 1607969440485
Moved to 1574, 858 at time 1607969440526
Moved to 1573, 857 at time 1607969440565
Moved to 1572, 856 at time 1607969440630
Moved to 1571, 855 at time 1607969440664
Moved to 1570, 854 at time 1607969440704
Moved to 1569, 853 at time 1607969440749
Moved to 1568, 852 at time 1607969440824
Moved to 1567, 851 at time 1607969440883
Moved to 1566, 850 at time 1607969440957
Moved to 1565, 849 at time 1607969441015
Moved to 1564, 848 at time 1607969441069
Moved to 1563, 847 at time 1607969441104
Moved to 1562, 846 at time 1607969441200
Moved to 1561, 845 at time 1607969441247
Moved to 1560, 844 at time 1607969441343
Moved to 1559, 843 at time 1607969441389
Moved to 1558, 842 at time 1607969441477
Moved to 1557, 841 at time 1607969441529
Moved to 1556, 840 at time 1607969441608
Moved to 1555, 839 at time 1607969441662
Moved to 1554, 838 at time 1607969441765
Moved to 1553, 837 at time 1607969441903
Moved to 1552, 836 at time 1607969441975
Moved to 1551, 835 at time 1607969442034
Moved to 1550, 834 at time 1607969442119
Moved to 1549, 833 at time 1607969442186
Moved to 1548, 832 at time 1607969442270
Moved to 1547, 831 at time 1607969442367
Moved to 1546, 830 at time 1607969442466
Moved to 1545, 829 at time 1607969442583
Moved to 1544, 828 at time 1607969442648
Moved to 1543, 827 at time 1607969442744
Moved to 1542, 826 at time 1607969442841
Moved to 1541, 825 at time 1607969443088
Moved to 1540, 824 at time 1607969443299
Moved to 1539, 823 at time 1607969443479
Moved to 1538, 822 at time 1607969443680
Moved to 1537, 821 at time 1607969443717
Moved to 1536, 820 at time 1607969443883
Moved to 1535, 819 at time 1607969443973
Moved to 1534, 818 at time 1607969444103
Moved to 1533, 817 at time 1607969444254
Moved to 1532, 816 at time 1607969444445
Moved to 1531, 815 at time 1607969444525
Moved to 1530, 814 at time 1607969444739
Moved to 1529, 813 at time 1607969444932
Moved to 1528, 812 at time 1607969445186
Moved to 1527, 811 at time 1607969445393
Moved to 1526, 810 at time 1607969445429
Moved to 1525, 809 at time 1607969445568
Moved to 1524, 808 at time 1607969445642
Moved to 1523, 807 at time 1607969445768
Moved to 1522, 806 at time 1607969445848
Moved to 1521, 805 at time 1607969445982
Moved to 1520, 804 at time 1607969446058
Moved to 1519, 803 at time 1607969446206
Moved to 1518, 802 at time 1607969446256
Moved to 1517, 801 at time 1607969446398
Moved to 1516, 800 at time 1607969446466
Moved to 1515, 799 at time 1607969446603
Moved to 1514, 798 at time 1607969446699
Moved to 1513, 797 at time 1607969446816
Moved to 1512, 796 at time 1607969446909
Moved to 1511, 795 at time 1607969446987
Moved to 1510, 794 at time 1607969447150
Moved to 1509, 793 at time 1607969447245
Moved to 1508, 792 at time 1607969447287
Moved to 1507, 791 at time 1607969447355
Moved to 1506, 790 at time 1607969447399
Moved to 1505, 789 at time 1607969447450
Moved to 1504, 788 at time 1607969447496
Moved to 1503, 787 at time 1607969447534
Moved to 1502, 786 at time 1607969447585
Moved to 1501, 785 at time 1607969447622
Moved to 1500, 784 at time 1607969447668
Moved to 1499, 783 at time 1607969447703
Moved to 1498, 782 at time 1607969447847
Moved to 1497, 781 at time 1607969448016
Moved to 1496, 780 at time 1607969448089
Moved to 1495, 779 at time 1607969448147
Moved to 1494, 778 at time 1607969448181
Moved to 1493, 777 at time 1607969448338
Moved to 1492, 776 at time 1607969448387
Moved to 1491, 775 at time 1607969448467
Moved to 1490, 774 at time 1607969448517
Moved to 1489, 773 at time 1607969448742
Moved to 1488, 772 at time 1607969448923
Moved to 1487, 771 at time 1607969449148
Moved to 1486, 770 at time 1607969449238
Moved to 1485, 769 at time 1607969449343
Moved to 1484, 768 at time 1607969449379
Moved to 1483, 767 at time 1607969449580
Moved to 1482, 766 at time 1607969449748
Moved to 1481, 765 at time 1607969449983
Moved to 1480, 764 at time 1607969450122
Moved to 1479, 763 at time 1607969450157
Moved to 1478, 762 at time 1607969450306
Moved to 1477, 761 at time 1607969450342
Moved to 1476, 760 at time 1607969450509
Moved to 1475, 759 at time 1607969450545
Moved to 1474, 758 at time 1607969450705
Moved to 1473, 757 at time 1607969450956
Moved to 1472, 756 at time 1607969451077
Moved to 1471, 755 at time 1607969451194
Moved to 1470, 754 at time 1607969451294
Moved to 1469, 753 at time 1607969451376
Moved to 1468, 752 at time 1607969451519
Moved to 1467, 751 at time 1607969451726
Moved to 1466, 750 at time 1607969451876
Moved to 1465, 749 at time 1607969452028
Moved to 1464, 748 at time 1607969452218
Moved to 1463, 747 at time 1607969452441
Moved to 1462, 746 at time 1607969452634
Moved to 1461, 745 at time 1607969452669
Moved to 1460, 744 at time 1607969452733
Moved to 1459, 743 at time 1607969452777
Moved to 1458, 742 at time 1607969452826
Moved to 1457, 741 at time 1607969452877
Moved to 1456, 740 at time 1607969452937
Moved to 1455, 739 at time 1607969452982
Moved to 1454, 738 at time 1607969453065
Moved to 1453, 737 at time 1607969453157
Moved to 1452, 736 at time 1607969453268
Moved to 1451, 735 at time 1607969453361
Moved to 1450, 734 at time 1607969453482
Moved to 1449, 733 at time 1607969453551
Moved to 1448, 732 at time 1607969453586
Moved to 1447, 731 at time 1607969453620
Moved to 1446, 730 at time 1607969453712
Moved to 1445, 729 at time 1607969453751
Moved to 1444, 728 at time 1607969453786
Moved to 1443, 727 at time 1607969453850
Moved to 1442, 726 at time 1607969453907
Moved to 1441, 725 at time 1607969453941
Moved to 1440, 724 at time 1607969453990
Moved to 1439, 723 at time 1607969454024
Moved to 1438, 722 at time 1607969454059
Moved to 1437, 721 at time 1607969454119
Moved to 1436, 720 at time 1607969454181
Moved to 1435, 719 at time 1607969454224
Moved to 1434, 718 at time 1607969454293
Moved to 1433, 717 at time 1607969454350
Moved to 1432, 716 at time 1607969454386
Moved to 1431, 715 at time 1607969454426
Moved to 1430, 714 at time 1607969454461
Moved to 1429, 713 at time 1607969454504
Moved to 1428, 712 at time 1607969454544
Moved to 1427, 711 at time 1607969454607
Moved to 1426, 710 at time 1607969454643
Moved to 1425, 709 at time 1607969454692
Moved to 1424, 708 at time 1607969454752
Moved to 1423, 707 at time 1607969454806
Moved to 1422, 706 at time 1607969454975
Moved to 1421, 705 at time 1607969455115
Moved to 1420, 704 at time 1607969455301
Moved to 1419, 703 at time 1607969455455
Moved to 1418, 702 at time 1607969455547
Moved to 1417, 701 at time 1607969455628
Moved to 1416, 700 at time 1607969455788
Moved to 1415, 699 at time 1607969455979
Moved to 1414, 698 at time 1607969456195
Moved to 1413, 697 at time 1607969456406
Moved to 1412, 696 at time 1607969456606
Moved to 1411, 695 at time 1607969456798
Moved to 1410, 694 at time 1607969456846
Moved to 1409, 693 at time 1607969456880
Moved to 1408, 692 at time 1607969456936
Moved to 1407, 691 at time 1607969457010
Moved to 1406, 690 at time 1607969457054
Moved to 1405, 689 at time 1607969457131
Moved to 1404, 688 at time 1607969457312
Moved to 1403, 687 at time 1607969457516
Moved to 1402, 686 at time 1607969457694
Moved to 1401, 685 at time 1607969457854
Moved to 1400, 684 at time 1607969458006
Moved to 1399, 683 at time 1607969458048
Moved to 1398, 682 at time 1607969458203
Moved to 1397, 681 at time 1607969458237
Moved to 1396, 680 at time 1607969458407
Moved to 1395, 679 at time 1607969458607
Moved to 1394, 678 at time 1607969458780
Moved to 1393, 677 at time 1607969458898
Moved to 1392, 676 at time 1607969458973
Moved to 1391, 675 at time 1607969459131
Moved to 1390, 674 at time 1607969459315
Moved to 1389, 673 at time 1607969459493
Moved to 1388, 672 at time 1607969459663
Moved to 1387, 671 at time 1607969459841
Moved to 1386, 670 at time 1607969460026
Moved to 1385, 669 at time 1607969460146
Moved to 1384, 668 at time 1607969460212
Moved to 1383, 667 at time 1607969460361
Moved to 1382, 666 at time 1607969460524
Moved to 1381, 665 at time 1607969460611
Moved to 1380, 664 at time 1607969460649
Moved to 1379, 663 at time 1607969460765
Moved to 1378, 662 at time 1607969460830
Moved to 1377, 661 at time 1607969460867
Moved to 1376, 660 at time 1607969460910
Moved to 1375, 659 at time 1607969461043
Moved to 1374, 658 at time 1607969461093
Moved to 1373, 657 at time 1607969461212
Moved to 1372, 656 at time 1607969461264
Moved to 1371, 655 at time 1607969461395
Moved to 1370, 654 at time 1607969461440
Moved to 1369, 653 at time 1607969461560
Moved to 1368, 652 at time 1607969461611
Moved to 1367, 651 at time 1607969461743
Moved to 1366, 650 at time 1607969461799
Moved to 1365, 649 at time 1607969461927
Moved to 1364, 648 at time 1607969461980
Moved to 1363, 647 at time 1607969462014
Moved to 1362, 646 at time 1607969462079
Moved to 1361, 645 at time 1607969462160
Moved to 1360, 644 at time 1607969462213
