Attacked Unit@2de232ddat position 1694, 329 at time 1607968586256
Moved to 1625, 690 at time 1607968731245
Moved to 1626, 691 at time 1607968731284
Moved to 1627, 692 at time 1607968731321
Moved to 1628, 693 at time 1607968731364
Moved to 1627, 694 at time 1607968731402
Moved to 1628, 693 at time 1607968731438
Moved to 1629, 694 at time 1607968731478
Moved to 1630, 693 at time 1607968731516
Moved to 1631, 694 at time 1607968731556
Moved to 1632, 693 at time 1607968731598
Moved to 1633, 692 at time 1607968731635
Moved to 1634, 693 at time 1607968731679
Moved to 1635, 694 at time 1607968731714
Moved to 1637, 693 at time 1607968731793
Moved to 1638, 692 at time 1607968731828
Moved to 1639, 691 at time 1607968731869
Moved to 1640, 692 at time 1607968731909
Moved to 1641, 691 at time 1607968731950
Moved to 1642, 690 at time 1607968731986
Moved to 1643, 689 at time 1607968732020
Moved to 1644, 690 at time 1607968732057
Moved to 1645, 689 at time 1607968732092
Moved to 1646, 690 at time 1607968732137
Moved to 1647, 689 at time 1607968732180
Moved to 1648, 690 at time 1607968732223
Moved to 1647, 691 at time 1607968732262
Moved to 1648, 690 at time 1607968732297
Moved to 1649, 689 at time 1607968732341
Moved to 1650, 688 at time 1607968732378
Moved to 1651, 687 at time 1607968732416
Moved to 1652, 688 at time 1607968732450
Moved to 1653, 687 at time 1607968732484
Moved to 1654, 686 at time 1607968732518
Moved to 1653, 687 at time 1607968732553
Moved to 1652, 688 at time 1607968732592
Moved to 1653, 689 at time 1607968732628
Moved to 1654, 688 at time 1607968732662
Moved to 1653, 689 at time 1607968732697
Moved to 1654, 688 at time 1607968732740
Moved to 1653, 689 at time 1607968732786
Moved to 1654, 690 at time 1607968732829
Moved to 1653, 691 at time 1607968732865
Moved to 1652, 692 at time 1607968732943
Moved to 1651, 693 at time 1607968733090
Moved to 1652, 692 at time 1607968733224
Moved to 1653, 691 at time 1607968733341
Moved to 1652, 692 at time 1607968733470
Moved to 1651, 693 at time 1607968733562
Moved to 1652, 694 at time 1607968733601
Moved to 1651, 695 at time 1607968733655
Moved to 1652, 696 at time 1607968733713
Moved to 1653, 697 at time 1607968733786
Moved to 1652, 698 at time 1607968733850
Moved to 1653, 697 at time 1607968733896
Moved to 1654, 698 at time 1607968733941
Moved to 1655, 697 at time 1607968733980
Moved to 1656, 696 at time 1607968734020
Moved to 1657, 695 at time 1607968734069
Moved to 1658, 696 at time 1607968734111
Moved to 1657, 697 at time 1607968734145
Moved to 1658, 696 at time 1607968734191
Moved to 1657, 697 at time 1607968734262
Moved to 1656, 698 at time 1607968734304
Moved to 1657, 697 at time 1607968734445
Moved to 1658, 696 at time 1607968734525
Moved to 1659, 695 at time 1607968734638
Moved to 1660, 696 at time 1607968734717
Moved to 1661, 697 at time 1607968734846
Moved to 1662, 696 at time 1607968734922
Moved to 1661, 697 at time 1607968734961
Moved to 1662, 698 at time 1607968734996
Moved to 1663, 697 at time 1607968735047
Moved to 1664, 696 at time 1607968735088
Moved to 1663, 697 at time 1607968735135
Moved to 1664, 696 at time 1607968735191
Moved to 1665, 695 at time 1607968735246
Moved to 1666, 696 at time 1607968735334
Moved to 1667, 695 at time 1607968735369
Moved to 1666, 696 at time 1607968735425
Moved to 1667, 695 at time 1607968735519
Moved to 1668, 694 at time 1607968735589
Moved to 1669, 695 at time 1607968735670
Moved to 1668, 696 at time 1607968735751
Moved to 1669, 697 at time 1607968735820
Moved to 1670, 696 at time 1607968735895
Moved to 1671, 697 at time 1607968735963
Moved to 1670, 698 at time 1607968736048
Moved to 1671, 699 at time 1607968736083
Moved to 1670, 700 at time 1607968736184
