Attacked Unit@27e8bfabat position 1555, 489 at time 1607967053571
Moved to 2570, 864 at time 1607969436929
Moved to 2569, 863 at time 1607969436964
Moved to 2568, 862 at time 1607969437014
Moved to 2567, 861 at time 1607969437068
Moved to 2566, 860 at time 1607969437112
Moved to 2565, 859 at time 1607969437160
Moved to 2564, 858 at time 1607969437204
Moved to 2563, 857 at time 1607969437278
Moved to 2562, 856 at time 1607969437321
Moved to 2561, 855 at time 1607969437409
Moved to 2560, 854 at time 1607969437483
Moved to 2559, 853 at time 1607969437522
Moved to 2558, 852 at time 1607969437613
Moved to 2557, 851 at time 1607969437699
Moved to 2556, 850 at time 1607969437770
Moved to 2555, 849 at time 1607969437879
Moved to 2554, 848 at time 1607969437965
Moved to 2553, 847 at time 1607969438046
Moved to 2552, 846 at time 1607969438090
Moved to 2551, 845 at time 1607969438163
Moved to 2550, 844 at time 1607969438379
Moved to 2549, 843 at time 1607969438548
Moved to 2548, 842 at time 1607969438747
Moved to 2547, 841 at time 1607969438839
Moved to 2546, 840 at time 1607969438985
Moved to 2545, 839 at time 1607969439241
Moved to 2544, 838 at time 1607969439523
Moved to 2543, 837 at time 1607969439652
Moved to 2542, 836 at time 1607969439724
Moved to 2541, 835 at time 1607969439862
Moved to 2540, 834 at time 1607969439896
Moved to 2539, 833 at time 1607969440089
Moved to 2538, 832 at time 1607969440198
Moved to 2537, 831 at time 1607969440237
Moved to 2536, 830 at time 1607969440287
Moved to 2535, 829 at time 1607969440335
Moved to 2534, 828 at time 1607969440386
Moved to 2533, 827 at time 1607969440422
Moved to 2532, 826 at time 1607969440477
Moved to 2531, 825 at time 1607969440536
Moved to 2530, 824 at time 1607969440587
Moved to 2529, 823 at time 1607969440651
Moved to 2528, 822 at time 1607969440715
Moved to 2527, 821 at time 1607969440763
Moved to 2526, 820 at time 1607969440837
Moved to 2525, 819 at time 1607969440871
Moved to 2524, 818 at time 1607969440924
Moved to 2523, 817 at time 1607969440999
Moved to 2522, 816 at time 1607969441092
Moved to 2521, 815 at time 1607969441206
Moved to 2520, 814 at time 1607969441384
Moved to 2519, 813 at time 1607969441484
Moved to 2518, 812 at time 1607969441650
Moved to 2517, 811 at time 1607969441777
Moved to 2516, 810 at time 1607969441891
Moved to 2515, 809 at time 1607969441987
Moved to 2514, 808 at time 1607969442171
Moved to 2513, 807 at time 1607969442287
Moved to 2512, 806 at time 1607969442346
Moved to 2511, 805 at time 1607969442591
Moved to 2510, 804 at time 1607969442634
Moved to 2509, 803 at time 1607969442760
Moved to 2508, 802 at time 1607969442822
Moved to 2507, 801 at time 1607969442959
Moved to 2506, 800 at time 1607969443041
Moved to 2505, 799 at time 1607969443155
Moved to 2504, 798 at time 1607969443229
Moved to 2503, 797 at time 1607969443357
Moved to 2502, 796 at time 1607969443432
Moved to 2501, 795 at time 1607969443569
Moved to 2500, 794 at time 1607969443744
Moved to 2499, 793 at time 1607969443858
Moved to 2498, 792 at time 1607969443998
Moved to 2497, 791 at time 1607969444080
Moved to 2496, 790 at time 1607969444280
Moved to 2495, 789 at time 1607969444424
Moved to 2494, 788 at time 1607969444546
Moved to 2493, 787 at time 1607969444708
Moved to 2492, 786 at time 1607969444965
Moved to 2491, 785 at time 1607969445139
Moved to 2490, 784 at time 1607969445209
Moved to 2489, 783 at time 1607969445380
Moved to 2488, 782 at time 1607969445623
Moved to 2487, 781 at time 1607969445792
Moved to 2486, 780 at time 1607969446039
