Attacked Unit@4ca32f1cat position 530, 727 at time 1607905321849
Moved to 593, 894 at time 1607905475407
Moved to 592, 893 at time 1607905475487
Moved to 591, 892 at time 1607905475565
Moved to 590, 891 at time 1607905475619
Moved to 589, 890 at time 1607905475655
Moved to 588, 889 at time 1607905475731
Moved to 587, 888 at time 1607905475809
Moved to 586, 887 at time 1607905475874
Moved to 585, 886 at time 1607905475950
Moved to 584, 885 at time 1607905476002
Moved to 583, 884 at time 1607905476066
Moved to 582, 883 at time 1607905476109
Moved to 581, 882 at time 1607905476146
Moved to 580, 881 at time 1607905476191
Moved to 579, 880 at time 1607905476259
Moved to 578, 879 at time 1607905476314
Moved to 577, 878 at time 1607905476360
Moved to 576, 877 at time 1607905476430
Moved to 575, 876 at time 1607905476476
Attacked Unit@21f06dcfat position 352, 607 at time 1607905476542
Got attacked at 575, 876 by Unit@21f06dcf at time 1607905477059
Attacked Unit@21f06dcfat position 352, 607 at time 1607905478238
Got attacked at 575, 876 by Unit@21f06dcf at time 1607905478743
Attacked Unit@21f06dcfat position 352, 607 at time 1607905479908
Got attacked at 575, 876 by Unit@21f06dcf at time 1607905480448
Moved to 574, 875 at time 1607905480530
Moved to 573, 874 at time 1607905480588
Moved to 572, 873 at time 1607905480628
Moved to 571, 872 at time 1607905480691
Moved to 570, 871 at time 1607905480744
Moved to 569, 870 at time 1607905480788
Moved to 568, 869 at time 1607905480843
Moved to 567, 868 at time 1607905480887
Moved to 566, 867 at time 1607905480938
Moved to 565, 866 at time 1607905480991
Moved to 564, 865 at time 1607905481038
Moved to 563, 864 at time 1607905481088
Moved to 562, 863 at time 1607905481123
Moved to 561, 862 at time 1607905481158
Moved to 560, 861 at time 1607905481210
Moved to 559, 860 at time 1607905481259
Moved to 558, 859 at time 1607905481310
Moved to 557, 858 at time 1607905481373
Moved to 556, 857 at time 1607905481413
Moved to 555, 856 at time 1607905481465
Moved to 554, 855 at time 1607905481507
Moved to 553, 854 at time 1607905481541
Moved to 552, 853 at time 1607905481586
Moved to 551, 852 at time 1607905481655
Moved to 550, 851 at time 1607905481705
Moved to 549, 850 at time 1607905481742
Moved to 548, 849 at time 1607905481791
Moved to 547, 848 at time 1607905481844
Moved to 546, 847 at time 1607905481892
Moved to 545, 846 at time 1607905481927
Moved to 544, 845 at time 1607905481980
Moved to 543, 844 at time 1607905482038
Moved to 542, 843 at time 1607905482092
Moved to 541, 842 at time 1607905482149
Moved to 540, 841 at time 1607905482194
Moved to 539, 840 at time 1607905482262
Moved to 538, 839 at time 1607905482309
Moved to 537, 838 at time 1607905482370
Moved to 536, 837 at time 1607905482412
Moved to 535, 836 at time 1607905482447
Moved to 534, 835 at time 1607905482484
Moved to 533, 834 at time 1607905482538
Moved to 532, 833 at time 1607905482595
Moved to 531, 832 at time 1607905482643
Moved to 530, 831 at time 1607905482696
Moved to 529, 830 at time 1607905482757
Moved to 528, 829 at time 1607905482795
Moved to 527, 828 at time 1607905482840
Moved to 526, 827 at time 1607905482891
Moved to 527, 804 at time 1607905483898
Moved to 528, 803 at time 1607905483950
Moved to 529, 802 at time 1607905483990
Moved to 530, 801 at time 1607905484027
Moved to 531, 799 at time 1607905484146
Moved to 532, 798 at time 1607905484228
Moved to 533, 797 at time 1607905484273
Moved to 534, 796 at time 1607905484310
Moved to 535, 795 at time 1607905484351
Moved to 536, 794 at time 1607905484387
Moved to 537, 793 at time 1607905484428
Moved to 538, 792 at time 1607905484475
Moved to 539, 791 at time 1607905484527
Moved to 540, 790 at time 1607905484575
Moved to 541, 789 at time 1607905484612
Moved to 542, 788 at time 1607905484660
Moved to 543, 787 at time 1607905484696
Moved to 544, 785 at time 1607905484791
Attacked Unit@259565bat position 322, 516 at time 1607905484834
Moved to 545, 784 at time 1607905485584
Moved to 546, 783 at time 1607905485640
Moved to 547, 782 at time 1607905485697
Moved to 548, 781 at time 1607905485736
Moved to 549, 780 at time 1607905485779
Moved to 550, 779 at time 1607905485829
Moved to 551, 778 at time 1607905485873
Moved to 552, 777 at time 1607905485909
Got attacked at 552, 777 by Unit@433c8dc9 at time 1607905485951
Attacked Unit@433c8dc9at position 309, 508 at time 1607905486508
Moved to 553, 776 at time 1607905487092
Moved to 554, 775 at time 1607905487128
Moved to 555, 774 at time 1607905487180
Moved to 556, 773 at time 1607905487228
Moved to 557, 772 at time 1607905487262
Moved to 558, 771 at time 1607905487301
Moved to 559, 770 at time 1607905487344
Moved to 560, 769 at time 1607905487392
Moved to 561, 768 at time 1607905487429
Moved to 562, 767 at time 1607905487473
Got attacked at 562, 767 by Unit@6170dad7 at time 1607905487489
Attacked Unit@6170dad7at position 309, 498 at time 1607905488180
Moved to 563, 766 at time 1607905488218
Moved to 564, 765 at time 1607905488256
Moved to 565, 764 at time 1607905488301
Moved to 566, 763 at time 1607905488340
Moved to 567, 762 at time 1607905488376
Moved to 568, 761 at time 1607905488412
Moved to 569, 760 at time 1607905488451
Moved to 570, 759 at time 1607905488489
Moved to 571, 758 at time 1607905488530
Moved to 572, 757 at time 1607905488565
Moved to 573, 756 at time 1607905488606
Moved to 574, 755 at time 1607905488641
Attacked Unit@66243e83at position 370, 450 at time 1607905490062
Moved to 575, 718 at time 1607905490096
Moved to 576, 717 at time 1607905490130
Moved to 577, 716 at time 1607905490164
Moved to 578, 715 at time 1607905490198
Got attacked at 578, 711 by Unit@721f8d3b at time 1607905490979
Attacked Unit@78e118f6at position 429, 442 at time 1607905491731
Got attacked at 578, 711 by Unit@721f8d3b at time 1607905492674
Died at 578, 711 at time 1607905492696
