Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2662, 925 at time 1607969435930
Moved to 2661, 924 at time 1607969435985
Moved to 2660, 923 at time 1607969436025
Moved to 2659, 922 at time 1607969436085
Moved to 2658, 921 at time 1607969436121
Moved to 2657, 920 at time 1607969436169
Moved to 2656, 919 at time 1607969436231
Moved to 2655, 918 at time 1607969436279
Moved to 2654, 917 at time 1607969436341
Moved to 2653, 916 at time 1607969436411
Moved to 2652, 915 at time 1607969436451
Moved to 2651, 914 at time 1607969436513
Moved to 2650, 913 at time 1607969436563
Moved to 2649, 912 at time 1607969436604
Moved to 2648, 911 at time 1607969436684
Moved to 2647, 910 at time 1607969436802
Moved to 2646, 909 at time 1607969436863
Moved to 2645, 908 at time 1607969436925
Moved to 2644, 907 at time 1607969436966
Moved to 2643, 906 at time 1607969437013
Moved to 2642, 905 at time 1607969437069
Moved to 2641, 904 at time 1607969437108
Moved to 2640, 903 at time 1607969437165
Moved to 2639, 902 at time 1607969437315
Moved to 2638, 901 at time 1607969437414
Moved to 2637, 900 at time 1607969437479
Moved to 2636, 899 at time 1607969437530
Moved to 2635, 898 at time 1607969437603
Moved to 2634, 897 at time 1607969437637
Moved to 2633, 896 at time 1607969437729
Moved to 2632, 895 at time 1607969437791
Moved to 2631, 894 at time 1607969437854
Moved to 2630, 893 at time 1607969437934
Moved to 2629, 892 at time 1607969438022
Moved to 2628, 891 at time 1607969438114
Moved to 2627, 890 at time 1607969438291
Moved to 2626, 889 at time 1607969438471
Moved to 2625, 888 at time 1607969438596
Moved to 2624, 887 at time 1607969438758
Moved to 2623, 886 at time 1607969438827
Moved to 2622, 885 at time 1607969439083
Moved to 2621, 884 at time 1607969439340
Moved to 2620, 883 at time 1607969439389
Moved to 2619, 882 at time 1607969439571
Moved to 2618, 881 at time 1607969439805
Moved to 2617, 880 at time 1607969439975
Moved to 2616, 879 at time 1607969440170
Moved to 2615, 878 at time 1607969440259
Moved to 2614, 877 at time 1607969440300
Moved to 2613, 876 at time 1607969440355
Moved to 2612, 875 at time 1607969440403
Moved to 2611, 874 at time 1607969440438
Moved to 2610, 873 at time 1607969440502
Moved to 2609, 872 at time 1607969440553
Moved to 2608, 871 at time 1607969440602
Moved to 2607, 870 at time 1607969440642
Moved to 2606, 869 at time 1607969440690
Moved to 2605, 868 at time 1607969440737
Moved to 2604, 867 at time 1607969440798
Moved to 2603, 866 at time 1607969440853
Moved to 2602, 865 at time 1607969440914
Moved to 2601, 864 at time 1607969440962
Moved to 2600, 863 at time 1607969441041
Moved to 2599, 862 at time 1607969441191
Moved to 2598, 861 at time 1607969441249
Moved to 2597, 860 at time 1607969441341
Moved to 2596, 859 at time 1607969441515
Moved to 2595, 858 at time 1607969441621
Moved to 2594, 857 at time 1607969441797
