Attacked Unit@44f7debfat position 1665, 569 at time 1607967053538
Moved to 1493, 424 at time 1607967108114
Moved to 1494, 425 at time 1607967108242
Moved to 1495, 426 at time 1607967108278
Moved to 1496, 427 at time 1607967108326
Moved to 1497, 428 at time 1607967108395
Moved to 1498, 429 at time 1607967108554
Moved to 1499, 430 at time 1607967108589
Moved to 1500, 431 at time 1607967108875
Moved to 1501, 432 at time 1607967108910
Moved to 1502, 433 at time 1607967109223
Moved to 1503, 434 at time 1607967109318
Moved to 1504, 435 at time 1607967109640
Moved to 1505, 436 at time 1607967109768
Moved to 1506, 437 at time 1607967109994
Moved to 1507, 438 at time 1607967110031
Moved to 1508, 439 at time 1607967110215
Moved to 1509, 440 at time 1607967110360
Moved to 1511, 441 at time 1607967111014
Moved to 1512, 442 at time 1607967111268
Moved to 1513, 443 at time 1607967111714
Moved to 1514, 444 at time 1607967111861
Moved to 1515, 445 at time 1607967111985
Moved to 1516, 446 at time 1607967112057
Moved to 1517, 447 at time 1607967112229
Moved to 1519, 448 at time 1607967112606
Moved to 1520, 449 at time 1607967112987
Moved to 1521, 450 at time 1607967113408
Moved to 1522, 451 at time 1607967113898
Moved to 1523, 452 at time 1607967113935
Moved to 1524, 453 at time 1607967114275
Moved to 1525, 454 at time 1607967114360
Moved to 1526, 455 at time 1607967114723
Moved to 1527, 456 at time 1607967114788
Moved to 1528, 457 at time 1607967115130
Moved to 1532, 458 at time 1607967116000
Moved to 1532, 459 at time 1607967118882
Moved to 1531, 458 at time 1607967119221
Moved to 1530, 457 at time 1607967119259
Moved to 1529, 456 at time 1607967119294
Moved to 1528, 455 at time 1607967119581
Moved to 1527, 454 at time 1607967119647
Moved to 1526, 453 at time 1607967119739
Moved to 1525, 452 at time 1607967119884
Moved to 1524, 451 at time 1607967119936
Moved to 1523, 450 at time 1607967119975
Moved to 1522, 449 at time 1607967120062
Moved to 1521, 448 at time 1607967120198
Moved to 1520, 447 at time 1607967120254
Moved to 1519, 446 at time 1607967120300
Moved to 1518, 445 at time 1607967120366
Moved to 1517, 444 at time 1607967120517
Moved to 1516, 443 at time 1607967120583
Moved to 1515, 442 at time 1607967120705
Moved to 1514, 441 at time 1607967120786
Moved to 1513, 440 at time 1607967120927
Moved to 1512, 439 at time 1607967120995
Moved to 1511, 438 at time 1607967121106
Moved to 1510, 437 at time 1607967121235
Moved to 1509, 436 at time 1607967121416
Moved to 1508, 435 at time 1607967121503
Moved to 1507, 434 at time 1607967121603
Moved to 1506, 433 at time 1607967121697
Moved to 1505, 432 at time 1607967121781
Moved to 1504, 431 at time 1607967121869
Moved to 1503, 430 at time 1607967121953
Moved to 1502, 429 at time 1607967122028
Moved to 1501, 428 at time 1607967122115
Moved to 1500, 427 at time 1607967122204
Moved to 1499, 426 at time 1607967122262
Moved to 1498, 425 at time 1607967122352
Moved to 1497, 424 at time 1607967122418
Moved to 1496, 423 at time 1607967122500
Moved to 1495, 422 at time 1607967122571
Moved to 1494, 421 at time 1607967122664
Moved to 1493, 420 at time 1607967122719
Moved to 1492, 419 at time 1607967122808
Moved to 1491, 418 at time 1607967122874
Moved to 1490, 417 at time 1607967122971
Moved to 1489, 416 at time 1607967123139
Moved to 1488, 415 at time 1607967123254
Moved to 1487, 414 at time 1607967123464
Moved to 1486, 413 at time 1607967123580
Moved to 1485, 412 at time 1607967123832
Moved to 1484, 411 at time 1607967123938
Moved to 1483, 407 at time 1607967124474
Moved to 1482, 406 at time 1607967124539
Moved to 1481, 405 at time 1607967124658
Moved to 1480, 404 at time 1607967124719
Moved to 1479, 403 at time 1607967124770
Moved to 1478, 402 at time 1607967124839
Moved to 1477, 401 at time 1607967124884
Moved to 1476, 400 at time 1607967124950
Moved to 1475, 399 at time 1607967124991
Moved to 1474, 398 at time 1607967125055
Moved to 1473, 397 at time 1607967125108
Moved to 1472, 396 at time 1607967125156
Moved to 1471, 395 at time 1607967125282
Moved to 1470, 394 at time 1607967125341
Moved to 1469, 393 at time 1607967125449
Moved to 1468, 392 at time 1607967125509
Moved to 1467, 391 at time 1607967125628
Moved to 1466, 390 at time 1607967125706
Moved to 1465, 389 at time 1607967125829
Moved to 1464, 388 at time 1607967125906
Moved to 1463, 387 at time 1607967125994
Moved to 1462, 386 at time 1607967126306
Moved to 1461, 385 at time 1607967126582
Moved to 1460, 384 at time 1607967126753
Moved to 1459, 383 at time 1607967126977
Moved to 1458, 382 at time 1607967127337
Moved to 1457, 381 at time 1607967127732
Moved to 1456, 380 at time 1607967128110
Moved to 1455, 379 at time 1607967128525
Moved to 1454, 378 at time 1607967128925
Moved to 1453, 377 at time 1607967129300
