Attacked Unit@7ddeb524at position 738, 12 at time 1607904712212
Moved to 824, 404 at time 1607904765625
Moved to 825, 405 at time 1607904765658
Moved to 826, 406 at time 1607904765692
Moved to 827, 407 at time 1607904765726
Moved to 828, 408 at time 1607904765760
Moved to 829, 409 at time 1607904765794
Moved to 830, 410 at time 1607904765828
Moved to 831, 411 at time 1607904765862
Moved to 832, 412 at time 1607904765896
Moved to 833, 413 at time 1607904765930
Moved to 834, 414 at time 1607904765964
Moved to 835, 415 at time 1607904765998
Moved to 836, 416 at time 1607904766032
Moved to 837, 417 at time 1607904766066
Moved to 838, 418 at time 1607904766100
Moved to 839, 419 at time 1607904766134
Moved to 840, 420 at time 1607904766168
Moved to 841, 421 at time 1607904766202
Moved to 842, 422 at time 1607904766237
Moved to 843, 423 at time 1607904766271
Moved to 844, 424 at time 1607904766306
Moved to 845, 425 at time 1607904766340
Moved to 846, 426 at time 1607904766374
Moved to 847, 427 at time 1607904766441
Moved to 848, 428 at time 1607904766475
Moved to 849, 429 at time 1607904766509
Moved to 850, 430 at time 1607904766543
Moved to 851, 431 at time 1607904766577
Moved to 852, 432 at time 1607904766611
Moved to 853, 433 at time 1607904766645
Moved to 854, 434 at time 1607904766679
Moved to 855, 435 at time 1607904766715
Moved to 856, 436 at time 1607904766750
Moved to 857, 437 at time 1607904766819
Moved to 858, 438 at time 1607904766854
Moved to 859, 439 at time 1607904766888
Moved to 860, 440 at time 1607904766922
Attacked Unit@71087fdbat position 1012, 709 at time 1607904766956
Got attacked at 860, 440 by Unit@71087fdb at time 1607904767140
