Attacked Unit@204417c3at position 1248, 671 at time 1607969349737
Attacked Unit@2f249966at position 786, 301 at time 1607969425658
Moved to 1054, 457 at time 1607969426865
Moved to 1053, 456 at time 1607969426966
Moved to 1052, 455 at time 1607969427067
Moved to 1051, 456 at time 1607969427143
Moved to 1047, 457 at time 1607969427424
Moved to 1046, 456 at time 1607969427480
Attacked Unit@78683f05at position 777, 295 at time 1607969427519
Attacked Unit@78683f05at position 777, 295 at time 1607969429201
Got attacked at 1046, 456 by Unit@ac28f1a at time 1607969429673
Died at 1046, 456 at time 1607969429710
