Attacked Unit@786bb298at position 1015, 776 at time 1607905322018
Moved to 794, 729 at time 1607905480846
Moved to 793, 728 at time 1607905480884
Moved to 792, 727 at time 1607905480920
Moved to 791, 726 at time 1607905480965
Moved to 790, 725 at time 1607905481014
Moved to 789, 724 at time 1607905481061
Moved to 788, 723 at time 1607905481109
Moved to 787, 722 at time 1607905481145
Moved to 786, 721 at time 1607905481223
Attacked Unit@2b222fbaat position 546, 452 at time 1607905481273
Attacked Unit@2b222fbaat position 546, 452 at time 1607905482960
Moved to 785, 720 at time 1607905484289
Moved to 784, 719 at time 1607905484337
Moved to 783, 718 at time 1607905484380
Moved to 782, 717 at time 1607905484416
Moved to 781, 716 at time 1607905484462
Moved to 780, 715 at time 1607905484509
Moved to 779, 714 at time 1607905484562
Moved to 778, 713 at time 1607905484596
Moved to 777, 712 at time 1607905484650
Moved to 776, 711 at time 1607905484690
Moved to 775, 710 at time 1607905484729
Moved to 774, 709 at time 1607905484784
Moved to 773, 708 at time 1607905484824
Moved to 772, 707 at time 1607905484878
Moved to 771, 706 at time 1607905484922
Moved to 770, 705 at time 1607905484957
Got attacked at 770, 705 by Unit@6535ae93 at time 1607905484963
Attacked Unit@6535ae93at position 522, 436 at time 1607905485008
Got attacked at 770, 705 by Unit@721f8d3b at time 1607905485928
Got attacked at 770, 705 by Unit@6535ae93 at time 1607905486657
Attacked Unit@6535ae93at position 522, 436 at time 1607905486706
Got attacked at 770, 705 by Unit@721f8d3b at time 1607905487609
Got attacked at 770, 705 by Unit@6535ae93 at time 1607905488342
Attacked Unit@6535ae93at position 522, 436 at time 1607905488393
Got attacked at 770, 705 by Unit@721f8d3b at time 1607905489290
Got attacked at 770, 705 by Unit@6535ae93 at time 1607905490018
Died at 770, 705 at time 1607905490051
