Attacked Unit@43f283b3at position 624, 1469 at time 1607971102113
Moved to 478, 1512 at time 1607971143002
Moved to 479, 1511 at time 1607971143037
Moved to 480, 1510 at time 1607971143072
Moved to 481, 1509 at time 1607971143107
Moved to 482, 1508 at time 1607971143141
Moved to 483, 1507 at time 1607971143175
Moved to 484, 1506 at time 1607971143209
Moved to 485, 1505 at time 1607971143245
Moved to 486, 1504 at time 1607971143280
Moved to 566, 1503 at time 1607971146157
Moved to 567, 1502 at time 1607971146192
Moved to 568, 1501 at time 1607971146226
Moved to 593, 1500 at time 1607971147162
Moved to 594, 1499 at time 1607971147198
Moved to 595, 1498 at time 1607971147232
Moved to 596, 1497 at time 1607971147267
Moved to 598, 1496 at time 1607971147336
Moved to 599, 1495 at time 1607971147370
Moved to 600, 1494 at time 1607971147404
Moved to 601, 1493 at time 1607971147438
Moved to 602, 1492 at time 1607971147472
Moved to 603, 1491 at time 1607971147506
Moved to 604, 1490 at time 1607971147540
Moved to 605, 1489 at time 1607971147580
Moved to 606, 1488 at time 1607971147649
Moved to 607, 1487 at time 1607971147684
Moved to 608, 1486 at time 1607971147719
Moved to 609, 1485 at time 1607971147788
Moved to 610, 1484 at time 1607971147822
Moved to 611, 1483 at time 1607971147856
Moved to 612, 1482 at time 1607971147891
Moved to 613, 1481 at time 1607971147958
Moved to 614, 1480 at time 1607971147993
Moved to 649, 1479 at time 1607971149269
Moved to 650, 1478 at time 1607971149303
Moved to 651, 1477 at time 1607971149337
Moved to 652, 1476 at time 1607971149371
Moved to 653, 1475 at time 1607971149405
Moved to 654, 1474 at time 1607971149439
Moved to 655, 1473 at time 1607971149473
Moved to 656, 1472 at time 1607971149508
Moved to 657, 1471 at time 1607971149542
Moved to 658, 1470 at time 1607971149577
Moved to 659, 1469 at time 1607971149611
Moved to 660, 1468 at time 1607971149645
Moved to 661, 1467 at time 1607971149681
Moved to 662, 1466 at time 1607971149715
Moved to 663, 1465 at time 1607971149749
Moved to 664, 1464 at time 1607971149783
Moved to 665, 1463 at time 1607971149818
Moved to 666, 1462 at time 1607971149852
Moved to 667, 1461 at time 1607971149886
Moved to 668, 1460 at time 1607971149921
Moved to 669, 1459 at time 1607971149955
Moved to 670, 1458 at time 1607971149989
Moved to 671, 1457 at time 1607971150023
Moved to 672, 1456 at time 1607971150057
Moved to 673, 1455 at time 1607971150124
Moved to 674, 1454 at time 1607971150158
Moved to 675, 1453 at time 1607971150193
Moved to 676, 1452 at time 1607971150228
Moved to 677, 1451 at time 1607971150263
Moved to 678, 1450 at time 1607971150298
Moved to 679, 1449 at time 1607971150332
Moved to 680, 1448 at time 1607971150399
Moved to 681, 1447 at time 1607971150436
Moved to 682, 1446 at time 1607971150473
Moved to 683, 1445 at time 1607971150507
Moved to 684, 1444 at time 1607971150542
Moved to 685, 1443 at time 1607971150581
Moved to 686, 1442 at time 1607971150615
Moved to 687, 1441 at time 1607971150649
Moved to 688, 1440 at time 1607971150687
Moved to 689, 1439 at time 1607971150722
Moved to 690, 1438 at time 1607971150756
Moved to 691, 1437 at time 1607971150791
Moved to 692, 1436 at time 1607971150825
Moved to 693, 1435 at time 1607971150859
Moved to 694, 1434 at time 1607971150897
Moved to 695, 1433 at time 1607971150931
Moved to 696, 1432 at time 1607971150965
Moved to 697, 1431 at time 1607971150999
Moved to 698, 1430 at time 1607971151033
Moved to 699, 1429 at time 1607971151067
Moved to 700, 1428 at time 1607971151102
Moved to 701, 1427 at time 1607971151136
Moved to 702, 1426 at time 1607971151170
Moved to 703, 1425 at time 1607971151204
Moved to 704, 1424 at time 1607971151238
Moved to 705, 1423 at time 1607971151273
Moved to 706, 1422 at time 1607971151308
Moved to 707, 1421 at time 1607971151342
Moved to 708, 1420 at time 1607971151378
Moved to 709, 1419 at time 1607971151412
Moved to 710, 1418 at time 1607971151447
Moved to 711, 1417 at time 1607971151482
Moved to 712, 1416 at time 1607971151516
Moved to 713, 1415 at time 1607971151583
Moved to 714, 1414 at time 1607971151617
Moved to 715, 1413 at time 1607971151652
Moved to 716, 1412 at time 1607971151687
Moved to 717, 1411 at time 1607971151721
Moved to 718, 1410 at time 1607971151755
Moved to 719, 1409 at time 1607971151789
Moved to 720, 1408 at time 1607971151824
Moved to 721, 1407 at time 1607971151859
Moved to 722, 1406 at time 1607971151893
Moved to 723, 1405 at time 1607971151927
Moved to 724, 1404 at time 1607971151964
Moved to 725, 1403 at time 1607971151999
Moved to 726, 1402 at time 1607971152033
Moved to 727, 1401 at time 1607971152100
Moved to 728, 1400 at time 1607971152134
Moved to 729, 1399 at time 1607971152169
Moved to 730, 1398 at time 1607971152203
Moved to 731, 1397 at time 1607971152237
Moved to 732, 1396 at time 1607971152271
Moved to 733, 1395 at time 1607971152305
Moved to 734, 1394 at time 1607971152339
Moved to 735, 1393 at time 1607971152406
Moved to 736, 1392 at time 1607971152440
Moved to 737, 1391 at time 1607971152475
Moved to 738, 1390 at time 1607971152509
Moved to 739, 1389 at time 1607971152543
Moved to 740, 1388 at time 1607971152578
Moved to 741, 1387 at time 1607971152612
Moved to 742, 1386 at time 1607971152646
Moved to 743, 1385 at time 1607971152680
Moved to 744, 1384 at time 1607971152714
Moved to 745, 1383 at time 1607971152748
Moved to 746, 1382 at time 1607971152782
Moved to 747, 1381 at time 1607971152817
Moved to 748, 1380 at time 1607971152851
Moved to 749, 1379 at time 1607971152887
Moved to 750, 1378 at time 1607971152921
Moved to 751, 1377 at time 1607971152957
Moved to 752, 1376 at time 1607971152990
Moved to 753, 1375 at time 1607971153024
Moved to 754, 1374 at time 1607971153058
Moved to 755, 1373 at time 1607971153092
Moved to 756, 1372 at time 1607971153159
Moved to 757, 1371 at time 1607971153196
Moved to 758, 1370 at time 1607971153231
Moved to 759, 1369 at time 1607971153265
Moved to 760, 1368 at time 1607971153299
Moved to 761, 1367 at time 1607971153334
Moved to 762, 1366 at time 1607971153370
Moved to 763, 1365 at time 1607971153405
Moved to 764, 1364 at time 1607971153439
Moved to 765, 1363 at time 1607971153473
Moved to 766, 1362 at time 1607971153509
Moved to 767, 1361 at time 1607971153550
Moved to 768, 1360 at time 1607971153588
Moved to 769, 1359 at time 1607971153655
Moved to 770, 1358 at time 1607971153690
Moved to 771, 1357 at time 1607971153724
Moved to 772, 1356 at time 1607971153758
Moved to 773, 1355 at time 1607971153792
Moved to 774, 1354 at time 1607971153826
Moved to 775, 1353 at time 1607971153860
Moved to 776, 1352 at time 1607971153895
Moved to 777, 1351 at time 1607971153930
Moved to 778, 1350 at time 1607971153964
Moved to 779, 1349 at time 1607971154031
Moved to 780, 1348 at time 1607971154065
Moved to 781, 1347 at time 1607971154099
Moved to 782, 1346 at time 1607971154133
Moved to 783, 1345 at time 1607971154168
Moved to 784, 1344 at time 1607971154203
Moved to 785, 1343 at time 1607971154237
Moved to 786, 1342 at time 1607971154271
Moved to 787, 1341 at time 1607971154306
Moved to 788, 1340 at time 1607971154340
Moved to 789, 1339 at time 1607971154374
Moved to 790, 1338 at time 1607971154408
Moved to 791, 1337 at time 1607971154442
Moved to 792, 1336 at time 1607971154476
Moved to 793, 1335 at time 1607971154510
Moved to 794, 1334 at time 1607971154545
Moved to 795, 1333 at time 1607971154579
Moved to 796, 1332 at time 1607971154615
Moved to 797, 1331 at time 1607971154649
Moved to 798, 1330 at time 1607971154683
Moved to 799, 1329 at time 1607971154717
Moved to 800, 1328 at time 1607971154784
Moved to 801, 1327 at time 1607971154820
Moved to 802, 1326 at time 1607971154854
Moved to 803, 1325 at time 1607971154888
Moved to 804, 1324 at time 1607971154923
Moved to 805, 1323 at time 1607971154956
Moved to 806, 1322 at time 1607971154990
Moved to 807, 1321 at time 1607971155024
Moved to 808, 1320 at time 1607971155058
Moved to 809, 1319 at time 1607971155092
Moved to 810, 1318 at time 1607971155128
Moved to 811, 1317 at time 1607971155162
Moved to 812, 1316 at time 1607971155196
Moved to 813, 1315 at time 1607971155263
Moved to 814, 1314 at time 1607971155297
Moved to 815, 1313 at time 1607971155332
Moved to 816, 1312 at time 1607971155366
Moved to 817, 1311 at time 1607971155400
Moved to 818, 1310 at time 1607971155434
