Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644476
Moved to 432, 637 at time 1607965753480
Moved to 431, 636 at time 1607965753766
Moved to 430, 635 at time 1607965753896
Moved to 429, 634 at time 1607965754161
Moved to 428, 633 at time 1607965754278
Moved to 427, 632 at time 1607965754551
Moved to 426, 631 at time 1607965754668
Moved to 425, 630 at time 1607965754928
Moved to 424, 629 at time 1607965755040
Moved to 423, 628 at time 1607965755294
Moved to 422, 627 at time 1607965755427
Moved to 421, 626 at time 1607965755850
Moved to 420, 625 at time 1607965756019
Moved to 419, 624 at time 1607965756220
Moved to 418, 623 at time 1607965756411
Moved to 417, 622 at time 1607965756606
Moved to 416, 621 at time 1607965756789
Moved to 415, 620 at time 1607965756932
Moved to 414, 619 at time 1607965757104
Moved to 413, 618 at time 1607965757294
Moved to 412, 617 at time 1607965757329
Moved to 411, 616 at time 1607965757453
Moved to 410, 615 at time 1607965757712
Moved to 409, 614 at time 1607965757833
Moved to 408, 613 at time 1607965758101
Moved to 407, 612 at time 1607965758211
Moved to 406, 611 at time 1607965758478
Moved to 405, 610 at time 1607965758604
Moved to 404, 609 at time 1607965758914
Moved to 403, 608 at time 1607965759026
Moved to 402, 607 at time 1607965759308
Moved to 401, 606 at time 1607965759408
Moved to 400, 605 at time 1607965759692
Moved to 399, 604 at time 1607965759788
Moved to 398, 603 at time 1607965759824
Moved to 397, 602 at time 1607965760012
Moved to 396, 601 at time 1607965760068
Moved to 395, 600 at time 1607965760131
Moved to 394, 599 at time 1607965760178
Moved to 393, 598 at time 1607965760245
Moved to 392, 597 at time 1607965760291
Moved to 391, 596 at time 1607965760347
Moved to 390, 595 at time 1607965760401
Moved to 389, 594 at time 1607965760465
Moved to 388, 593 at time 1607965760517
Moved to 387, 592 at time 1607965760572
