Attacked Unit@66fa39e8at position 636, 1326 at time 1607972168611
Moved to 617, 1183 at time 1607972184076
Moved to 618, 1182 at time 1607972184143
Moved to 619, 1181 at time 1607972184177
Moved to 620, 1180 at time 1607972184211
Moved to 621, 1179 at time 1607972184246
Moved to 622, 1178 at time 1607972184315
Moved to 623, 1177 at time 1607972184350
Moved to 624, 1176 at time 1607972184417
Moved to 625, 1175 at time 1607972184452
Attacked Unit@1d8ae5ffat position 889, 971 at time 1607972184693
Moved to 626, 1174 at time 1607972184931
Moved to 627, 1173 at time 1607972184965
Moved to 628, 1172 at time 1607972185033
Moved to 629, 1171 at time 1607972185100
Moved to 630, 1170 at time 1607972185136
Moved to 631, 1169 at time 1607972185172
Moved to 632, 1168 at time 1607972185209
Moved to 633, 1167 at time 1607972185243
Moved to 634, 1166 at time 1607972185310
Moved to 635, 1165 at time 1607972185344
Moved to 636, 1164 at time 1607972185378
Moved to 637, 1163 at time 1607972185414
Moved to 638, 1162 at time 1607972185482
Moved to 639, 1161 at time 1607972185550
Moved to 640, 1160 at time 1607972185585
Moved to 641, 1159 at time 1607972185619
Moved to 642, 1158 at time 1607972185653
Moved to 643, 1157 at time 1607972185688
Moved to 644, 1156 at time 1607972185722
Attacked Unit@13c72192at position 866, 900 at time 1607972186377
Moved to 645, 1155 at time 1607972186548
Moved to 646, 1154 at time 1607972186582
Moved to 647, 1153 at time 1607972186616
Moved to 648, 1152 at time 1607972186650
Moved to 649, 1151 at time 1607972186684
Moved to 650, 1150 at time 1607972186719
Attacked Unit@77223622at position 880, 904 at time 1607972188052
Attacked Unit@56c0359eat position 891, 927 at time 1607972189726
Moved to 651, 1149 at time 1607972189760
Moved to 652, 1148 at time 1607972189795
Moved to 653, 1147 at time 1607972189829
Moved to 654, 1146 at time 1607972189863
Moved to 655, 1145 at time 1607972189898
Moved to 656, 1144 at time 1607972189966
Moved to 657, 1143 at time 1607972190000
Moved to 658, 1142 at time 1607972190034
Moved to 659, 1141 at time 1607972190069
Moved to 660, 1140 at time 1607972190104
Moved to 661, 1139 at time 1607972190140
Moved to 662, 1138 at time 1607972190174
Moved to 663, 1137 at time 1607972190210
Moved to 664, 1136 at time 1607972190244
Moved to 665, 1135 at time 1607972190279
Moved to 666, 1134 at time 1607972190347
Moved to 667, 1133 at time 1607972190381
Moved to 668, 1132 at time 1607972190416
Moved to 669, 1131 at time 1607972190452
Moved to 670, 1130 at time 1607972190487
Moved to 671, 1129 at time 1607972190521
Moved to 672, 1128 at time 1607972190557
Moved to 673, 1127 at time 1607972190591
Moved to 674, 1126 at time 1607972190628
Moved to 675, 1125 at time 1607972190662
Moved to 676, 1124 at time 1607972190697
Moved to 677, 1123 at time 1607972190731
