Attacked Unit@2258044bat position 1249, 62 at time 1607968586213
Moved to 734, 1254 at time 1607970320175
Moved to 733, 1255 at time 1607970320210
Moved to 732, 1254 at time 1607970320244
Moved to 731, 1255 at time 1607970320279
Moved to 730, 1256 at time 1607970320314
Moved to 729, 1257 at time 1607970320349
Moved to 728, 1258 at time 1607970320385
Moved to 727, 1257 at time 1607970320419
Moved to 726, 1256 at time 1607970320454
Moved to 725, 1257 at time 1607970320489
Moved to 724, 1258 at time 1607970320524
Moved to 723, 1257 at time 1607970320559
Moved to 722, 1258 at time 1607970320593
Moved to 721, 1257 at time 1607970320629
Moved to 720, 1256 at time 1607970320663
Moved to 719, 1257 at time 1607970320697
Moved to 718, 1256 at time 1607970320731
Moved to 717, 1255 at time 1607970320766
Moved to 716, 1254 at time 1607970320800
Moved to 715, 1253 at time 1607970320834
Moved to 714, 1252 at time 1607970320868
Moved to 713, 1251 at time 1607970320902
Moved to 712, 1252 at time 1607970320937
Moved to 711, 1253 at time 1607970320980
Moved to 710, 1252 at time 1607970321015
Moved to 709, 1251 at time 1607970321051
Moved to 708, 1250 at time 1607970321086
Moved to 707, 1249 at time 1607970321120
Moved to 706, 1248 at time 1607970321155
Moved to 705, 1247 at time 1607970321189
Moved to 704, 1246 at time 1607970321224
