Attacked Unit@55d611daat position 821, 638 at time 1607968586271
Moved to 661, 926 at time 1607968869519
Moved to 660, 927 at time 1607968869555
Moved to 659, 928 at time 1607968869632
Moved to 659, 929 at time 1607968869783
Moved to 658, 930 at time 1607968869827
Moved to 657, 931 at time 1607968869862
Moved to 656, 932 at time 1607968869918
Moved to 655, 933 at time 1607968870026
Moved to 654, 934 at time 1607968870093
Moved to 655, 933 at time 1607968870154
Moved to 654, 934 at time 1607968870204
Moved to 655, 933 at time 1607968870244
Moved to 654, 934 at time 1607968870283
Moved to 653, 935 at time 1607968870329
Moved to 652, 936 at time 1607968870383
Moved to 651, 937 at time 1607968870435
Moved to 652, 936 at time 1607968870485
Moved to 651, 937 at time 1607968870520
Moved to 650, 938 at time 1607968870565
Moved to 649, 939 at time 1607968870614
Moved to 648, 940 at time 1607968870656
Moved to 647, 941 at time 1607968870699
Moved to 646, 942 at time 1607968870737
Moved to 645, 943 at time 1607968870772
Moved to 644, 944 at time 1607968870806
Moved to 643, 945 at time 1607968870841
Moved to 642, 946 at time 1607968870877
Moved to 641, 947 at time 1607968870912
Moved to 640, 948 at time 1607968870947
Moved to 641, 947 at time 1607968871004
Moved to 642, 946 at time 1607968871057
Moved to 641, 947 at time 1607968871113
Moved to 640, 948 at time 1607968871155
Moved to 639, 949 at time 1607968871248
Moved to 638, 950 at time 1607968871321
Moved to 637, 951 at time 1607968871388
Moved to 638, 950 at time 1607968871426
Moved to 637, 951 at time 1607968871502
Moved to 638, 950 at time 1607968871540
Moved to 637, 951 at time 1607968871628
Moved to 636, 952 at time 1607968871705
Moved to 635, 953 at time 1607968871740
Moved to 636, 952 at time 1607968871787
Moved to 637, 951 at time 1607968871829
Moved to 638, 950 at time 1607968871870
Moved to 639, 949 at time 1607968871923
Moved to 638, 950 at time 1607968872011
Moved to 639, 949 at time 1607968872065
Moved to 638, 950 at time 1607968872146
Moved to 639, 949 at time 1607968872211
Moved to 638, 950 at time 1607968872268
Moved to 637, 951 at time 1607968872349
Moved to 636, 952 at time 1607968872383
Moved to 637, 951 at time 1607968872434
Moved to 636, 952 at time 1607968872468
Moved to 635, 953 at time 1607968872502
Moved to 634, 954 at time 1607968872538
Moved to 633, 955 at time 1607968872585
Moved to 632, 956 at time 1607968872648
