Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644424
Moved to 555, 467 at time 1607965732270
Moved to 554, 466 at time 1607965732304
Moved to 553, 465 at time 1607965732342
Moved to 552, 464 at time 1607965732433
Moved to 551, 463 at time 1607965732684
Moved to 550, 462 at time 1607965733071
Moved to 549, 461 at time 1607965733518
Moved to 548, 460 at time 1607965733936
Moved to 547, 459 at time 1607965734384
Moved to 546, 458 at time 1607965734768
Moved to 545, 457 at time 1607965734926
Moved to 544, 456 at time 1607965735058
Moved to 543, 455 at time 1607965735189
Moved to 542, 454 at time 1607965735292
Moved to 541, 453 at time 1607965735402
Moved to 540, 452 at time 1607965735501
Moved to 539, 451 at time 1607965735605
Moved to 538, 450 at time 1607965735642
Moved to 537, 449 at time 1607965735785
Moved to 536, 448 at time 1607965735861
Moved to 535, 447 at time 1607965736026
Moved to 534, 446 at time 1607965736436
Moved to 533, 445 at time 1607965736805
Moved to 532, 444 at time 1607965736955
Moved to 531, 443 at time 1607965737013
Moved to 530, 442 at time 1607965737253
Moved to 529, 441 at time 1607965737380
Moved to 528, 440 at time 1607965737660
Moved to 527, 439 at time 1607965737788
Moved to 526, 438 at time 1607965738070
Moved to 525, 437 at time 1607965738196
Moved to 524, 436 at time 1607965738459
Moved to 523, 435 at time 1607965738589
Moved to 522, 434 at time 1607965738888
Moved to 521, 433 at time 1607965739021
Moved to 520, 432 at time 1607965739269
Moved to 519, 431 at time 1607965739401
Moved to 518, 430 at time 1607965739658
Moved to 517, 429 at time 1607965739796
Moved to 516, 428 at time 1607965740034
Moved to 515, 427 at time 1607965740164
Moved to 514, 426 at time 1607965740199
Moved to 513, 425 at time 1607965740346
Moved to 512, 424 at time 1607965740421
Moved to 511, 423 at time 1607965740463
Moved to 510, 422 at time 1607965740544
Moved to 509, 421 at time 1607965740594
Moved to 508, 420 at time 1607965740668
Moved to 507, 419 at time 1607965740804
Moved to 506, 418 at time 1607965741039
Moved to 505, 417 at time 1607965741171
Moved to 504, 416 at time 1607965741247
Moved to 503, 415 at time 1607965741340
Moved to 502, 414 at time 1607965741542
Moved to 501, 413 at time 1607965741673
Moved to 500, 412 at time 1607965741885
Moved to 499, 411 at time 1607965741943
Moved to 498, 410 at time 1607965742088
Moved to 497, 409 at time 1607965742315
Moved to 496, 408 at time 1607965742470
Moved to 495, 407 at time 1607965742594
Moved to 494, 406 at time 1607965742692
Moved to 493, 405 at time 1607965742822
Moved to 492, 404 at time 1607965742917
Moved to 491, 403 at time 1607965743045
Moved to 490, 402 at time 1607965743142
Moved to 489, 401 at time 1607965743265
Moved to 488, 400 at time 1607965743334
Moved to 487, 399 at time 1607965743424
Moved to 486, 398 at time 1607965743614
Moved to 485, 397 at time 1607965743715
Moved to 484, 396 at time 1607965744023
Moved to 483, 395 at time 1607965744123
Moved to 482, 394 at time 1607965744387
Moved to 481, 393 at time 1607965744491
Moved to 480, 392 at time 1607965744763
Moved to 479, 391 at time 1607965744853
Moved to 478, 390 at time 1607965745114
Moved to 477, 389 at time 1607965745213
Moved to 476, 388 at time 1607965745493
Moved to 475, 387 at time 1607965745582
Moved to 474, 386 at time 1607965745861
Moved to 473, 385 at time 1607965745952
Moved to 472, 384 at time 1607965746224
Moved to 471, 383 at time 1607965746315
Moved to 470, 382 at time 1607965746581
Moved to 469, 381 at time 1607965746675
Moved to 468, 380 at time 1607965746906
Moved to 467, 379 at time 1607965747000
Moved to 466, 378 at time 1607965747264
Moved to 465, 377 at time 1607965747350
Moved to 464, 376 at time 1607965747630
Moved to 463, 375 at time 1607965747707
Moved to 462, 374 at time 1607965747744
Moved to 461, 373 at time 1607965747945
Moved to 460, 372 at time 1607965748095
Moved to 459, 371 at time 1607965748164
Moved to 458, 370 at time 1607965748216
Moved to 457, 369 at time 1607965748275
Moved to 456, 368 at time 1607965748332
Moved to 455, 367 at time 1607965748390
Moved to 454, 366 at time 1607965748436
Moved to 453, 365 at time 1607965748490
Moved to 452, 364 at time 1607965748532
Moved to 451, 363 at time 1607965748567
Moved to 450, 362 at time 1607965748617
Moved to 449, 361 at time 1607965748681
Moved to 448, 360 at time 1607965748749
Moved to 447, 359 at time 1607965748810
Moved to 446, 358 at time 1607965748853
