Attacked Unit@1d77d34fat position 888, 680 at time 1607968586227
Moved to 992, 524 at time 1607968780096
Moved to 993, 525 at time 1607968791890
Moved to 994, 526 at time 1607968791928
Moved to 995, 527 at time 1607968791968
Moved to 996, 528 at time 1607968792004
Moved to 997, 529 at time 1607968792106
Moved to 998, 530 at time 1607968792199
Moved to 999, 531 at time 1607968792269
Moved to 1000, 532 at time 1607968792389
Moved to 1001, 533 at time 1607968792465
Moved to 1002, 534 at time 1607968792565
Moved to 1003, 535 at time 1607968792637
Moved to 1004, 536 at time 1607968792754
Moved to 1005, 537 at time 1607968792822
Moved to 1006, 538 at time 1607968792918
Moved to 1007, 539 at time 1607968793010
Moved to 1008, 540 at time 1607968793166
Moved to 1009, 541 at time 1607968793258
Moved to 1010, 542 at time 1607968793379
Moved to 1011, 543 at time 1607968793478
Moved to 1012, 544 at time 1607968793616
Moved to 1013, 545 at time 1607968793718
Moved to 1014, 546 at time 1607968793754
Moved to 1015, 547 at time 1607968793856
Moved to 1016, 548 at time 1607968794002
Moved to 1017, 549 at time 1607968794078
Moved to 1018, 550 at time 1607968794233
Moved to 1019, 551 at time 1607968794316
Moved to 1020, 552 at time 1607968794441
Moved to 1021, 553 at time 1607968794545
Moved to 1022, 554 at time 1607968794641
Moved to 1023, 555 at time 1607968794756
Moved to 1024, 556 at time 1607968794844
Moved to 1025, 557 at time 1607968794880
Moved to 1026, 558 at time 1607968794919
Moved to 1027, 559 at time 1607968795010
Moved to 1028, 560 at time 1607968795098
Moved to 1029, 561 at time 1607968795153
Moved to 1030, 562 at time 1607968795195
Moved to 1031, 563 at time 1607968795241
Moved to 1032, 564 at time 1607968795280
Moved to 1033, 565 at time 1607968795327
Moved to 1034, 566 at time 1607968795432
Moved to 1035, 567 at time 1607968795541
Moved to 1036, 568 at time 1607968795638
Moved to 1037, 569 at time 1607968795741
Moved to 1038, 570 at time 1607968795776
Moved to 1039, 571 at time 1607968795811
Moved to 1040, 572 at time 1607968795850
Moved to 1041, 573 at time 1607968795885
Moved to 1042, 574 at time 1607968795920
Moved to 1043, 575 at time 1607968795994
Moved to 1044, 576 at time 1607968796029
Moved to 1045, 577 at time 1607968796070
Moved to 1046, 578 at time 1607968796107
Moved to 1047, 579 at time 1607968796142
Moved to 1048, 580 at time 1607968796184
Moved to 1049, 581 at time 1607968796218
Moved to 1050, 582 at time 1607968796272
Moved to 1051, 583 at time 1607968796404
Moved to 1052, 584 at time 1607968796504
Moved to 1053, 585 at time 1607968796639
Moved to 1054, 586 at time 1607968796710
Moved to 1055, 587 at time 1607968796791
Moved to 1056, 588 at time 1607968796835
Moved to 1057, 589 at time 1607968796876
Moved to 1058, 590 at time 1607968796911
Moved to 1059, 591 at time 1607968796961
Moved to 1060, 592 at time 1607968797053
Moved to 1061, 593 at time 1607968797130
Moved to 1062, 594 at time 1607968797165
Moved to 1063, 595 at time 1607968797238
Moved to 1064, 596 at time 1607968797305
Moved to 1065, 597 at time 1607968797405
Moved to 1066, 598 at time 1607968797469
Moved to 1067, 599 at time 1607968797595
Moved to 1068, 600 at time 1607968797671
Moved to 1069, 601 at time 1607968797708
Moved to 1070, 602 at time 1607968797804
Moved to 1071, 603 at time 1607968797937
Moved to 1072, 604 at time 1607968798020
Moved to 1073, 605 at time 1607968798124
Moved to 1074, 606 at time 1607968798224
Moved to 1075, 607 at time 1607968798322
Moved to 1076, 608 at time 1607968798428
Moved to 1077, 609 at time 1607968798514
Moved to 1078, 610 at time 1607968798650
Moved to 1079, 611 at time 1607968798820
Moved to 1080, 612 at time 1607968798859
Moved to 1081, 613 at time 1607968798951
Moved to 1082, 614 at time 1607968799089
Moved to 1081, 615 at time 1607968799162
Moved to 1082, 616 at time 1607968799284
Moved to 1083, 617 at time 1607968799319
Moved to 1084, 618 at time 1607968799441
Moved to 1085, 619 at time 1607968799533
Moved to 1086, 620 at time 1607968799642
Moved to 1087, 621 at time 1607968799742
Moved to 1088, 622 at time 1607968799835
Moved to 1089, 623 at time 1607968799940
Moved to 1090, 624 at time 1607968800039
Moved to 1091, 625 at time 1607968800078
Moved to 1092, 626 at time 1607968800145
Moved to 1093, 627 at time 1607968800222
Moved to 1094, 628 at time 1607968800259
Moved to 1095, 629 at time 1607968800294
Moved to 1096, 630 at time 1607968800337
Moved to 1097, 631 at time 1607968800371
Moved to 1098, 632 at time 1607968800410
Moved to 1099, 633 at time 1607968800454
Moved to 1100, 634 at time 1607968800491
Moved to 1101, 635 at time 1607968800526
Moved to 1102, 636 at time 1607968800561
Moved to 1103, 637 at time 1607968800595
Moved to 1104, 638 at time 1607968800635
Moved to 1105, 639 at time 1607968800670
Moved to 1106, 640 at time 1607968800705
Moved to 1107, 641 at time 1607968800740
Moved to 1106, 642 at time 1607968800775
Moved to 1107, 643 at time 1607968800811
Moved to 1108, 644 at time 1607968800856
Moved to 1109, 645 at time 1607968800890
Moved to 1110, 646 at time 1607968800924
Moved to 1111, 647 at time 1607968800959
Moved to 1112, 648 at time 1607968800994
Moved to 1113, 649 at time 1607968801030
Moved to 1114, 650 at time 1607968801069
Moved to 1115, 651 at time 1607968801105
Moved to 1116, 652 at time 1607968801140
Moved to 1117, 653 at time 1607968801177
Moved to 1118, 654 at time 1607968801214
Moved to 1119, 655 at time 1607968801253
Moved to 1120, 656 at time 1607968801288
Moved to 1121, 657 at time 1607968801324
Moved to 1122, 658 at time 1607968801358
Moved to 1121, 659 at time 1607968801396
Attacked Unit@4f60a120at position 1359, 928 at time 1607968801430
Got attacked at 1121, 659 by Unit@334ca53 at time 1607968802114
Attacked Unit@33c3e27at position 1332, 928 at time 1607968803250
Got attacked at 1121, 659 by Unit@4f60a120 at time 1607968803564
Got attacked at 1121, 659 by Unit@33c3e27 at time 1607968803695
Got attacked at 1121, 659 by Unit@334ca53 at time 1607968803856
Attacked Unit@4f60a120at position 1359, 928 at time 1607968804942
Got attacked at 1121, 659 by Unit@334ca53 at time 1607968805621
Attacked Unit@334ca53at position 1383, 928 at time 1607968806706
Got attacked at 1121, 659 by Unit@4f60a120 at time 1607968806945
Got attacked at 1121, 659 by Unit@33c3e27 at time 1607968807130
Died at 1121, 659 at time 1607968807133
