Attacked Unit@df70316at position 577, 573 at time 1607905322148
Moved to 357, 799 at time 1607905483837
Moved to 358, 798 at time 1607905483872
Moved to 359, 797 at time 1607905483927
Moved to 360, 796 at time 1607905483962
Moved to 361, 795 at time 1607905484011
Moved to 362, 794 at time 1607905484064
Moved to 363, 793 at time 1607905484128
Moved to 364, 792 at time 1607905484190
Moved to 365, 791 at time 1607905484255
Moved to 366, 790 at time 1607905484307
Moved to 367, 789 at time 1607905484357
Moved to 368, 788 at time 1607905484397
Moved to 369, 787 at time 1607905484438
Moved to 370, 786 at time 1607905484472
Moved to 371, 785 at time 1607905484514
Attacked Unit@259565bat position 322, 516 at time 1607905484558
Got attacked at 371, 785 by Unit@259565b at time 1607905484558
Moved to 372, 784 at time 1607905485593
Moved to 373, 783 at time 1607905485634
Moved to 374, 782 at time 1607905485677
Moved to 375, 781 at time 1607905485727
Moved to 376, 780 at time 1607905485771
Moved to 377, 779 at time 1607905485808
Moved to 378, 778 at time 1607905485844
Moved to 379, 777 at time 1607905485888
Attacked Unit@433c8dc9at position 309, 508 at time 1607905486257
Moved to 380, 776 at time 1607905487090
Moved to 381, 775 at time 1607905487129
Moved to 382, 774 at time 1607905487163
Moved to 383, 773 at time 1607905487201
Moved to 384, 772 at time 1607905487240
Moved to 385, 771 at time 1607905487279
Moved to 386, 770 at time 1607905487313
Moved to 387, 769 at time 1607905487356
Moved to 388, 768 at time 1607905487391
Moved to 389, 767 at time 1607905487425
Attacked Unit@6170dad7at position 309, 498 at time 1607905487961
Moved to 390, 766 at time 1607905488229
Moved to 391, 765 at time 1607905488275
Moved to 392, 764 at time 1607905488313
Moved to 393, 763 at time 1607905488356
Moved to 394, 762 at time 1607905488391
Moved to 395, 761 at time 1607905488430
Moved to 396, 760 at time 1607905488470
Moved to 397, 759 at time 1607905488512
Moved to 398, 758 at time 1607905488548
Moved to 399, 757 at time 1607905488588
Moved to 400, 756 at time 1607905488623
Moved to 401, 755 at time 1607905488661
Moved to 402, 754 at time 1607905488703
Moved to 403, 753 at time 1607905488741
Moved to 404, 752 at time 1607905488776
Moved to 405, 751 at time 1607905488813
Moved to 406, 750 at time 1607905488849
Moved to 407, 749 at time 1607905488889
Moved to 408, 748 at time 1607905488929
Moved to 409, 747 at time 1607905488963
Moved to 410, 746 at time 1607905488997
Moved to 411, 745 at time 1607905489040
Moved to 412, 744 at time 1607905489091
Moved to 413, 743 at time 1607905489126
Moved to 414, 742 at time 1607905489179
Moved to 415, 741 at time 1607905489226
Moved to 416, 740 at time 1607905489262
Moved to 417, 739 at time 1607905489296
Moved to 418, 738 at time 1607905489331
Moved to 419, 737 at time 1607905489365
Moved to 420, 736 at time 1607905489400
Moved to 421, 735 at time 1607905489435
Moved to 422, 734 at time 1607905489472
Moved to 423, 733 at time 1607905489506
Moved to 424, 732 at time 1607905489541
Moved to 425, 731 at time 1607905489575
Moved to 426, 730 at time 1607905489610
Moved to 427, 729 at time 1607905489645
Moved to 428, 728 at time 1607905489679
Moved to 429, 727 at time 1607905489713
Moved to 430, 726 at time 1607905489751
Moved to 431, 725 at time 1607905489787
Moved to 432, 724 at time 1607905489824
Moved to 433, 723 at time 1607905489858
Moved to 434, 722 at time 1607905489892
Moved to 435, 721 at time 1607905489926
Moved to 436, 720 at time 1607905489960
Moved to 437, 719 at time 1607905489995
Attacked Unit@66243e83at position 370, 450 at time 1607905490029
Moved to 438, 718 at time 1607905490101
Moved to 439, 717 at time 1607905490135
Moved to 440, 716 at time 1607905490170
Moved to 441, 715 at time 1607905490206
Moved to 442, 714 at time 1607905490241
Moved to 443, 713 at time 1607905490275
Moved to 444, 712 at time 1607905490311
Moved to 445, 711 at time 1607905490345
Attacked Unit@78e118f6at position 429, 442 at time 1607905491730
Moved to 446, 710 at time 1607905493383
Moved to 447, 709 at time 1607905493451
Moved to 448, 708 at time 1607905493487
Moved to 449, 707 at time 1607905493522
Moved to 450, 706 at time 1607905493557
Moved to 451, 705 at time 1607905493592
Moved to 452, 704 at time 1607905493626
Moved to 453, 703 at time 1607905493660
Moved to 454, 702 at time 1607905493694
Moved to 455, 701 at time 1607905493728
Moved to 456, 700 at time 1607905493762
Moved to 457, 699 at time 1607905493829
Moved to 458, 698 at time 1607905493863
Moved to 459, 697 at time 1607905493897
Moved to 460, 696 at time 1607905493931
Moved to 461, 695 at time 1607905493965
Moved to 462, 694 at time 1607905494032
Moved to 463, 693 at time 1607905494067
Moved to 464, 692 at time 1607905494104
Moved to 465, 691 at time 1607905494142
Moved to 466, 690 at time 1607905494178
Moved to 467, 689 at time 1607905494215
Moved to 468, 688 at time 1607905494251
Attacked Unit@51d390d6at position 522, 416 at time 1607905494393
Moved to 469, 677 at time 1607905494734
Moved to 470, 676 at time 1607905494771
Moved to 471, 675 at time 1607905494807
Moved to 472, 673 at time 1607905494876
Moved to 473, 672 at time 1607905494910
Moved to 474, 671 at time 1607905494946
Moved to 475, 670 at time 1607905494980
Attacked Unit@40f4aa94at position 615, 326 at time 1607905497831
Moved to 476, 579 at time 1607905499343
Moved to 477, 577 at time 1607905499411
Moved to 478, 576 at time 1607905499445
Moved to 479, 575 at time 1607905499479
Attacked Unit@4924f422at position 623, 306 at time 1607905499515
Moved to 480, 574 at time 1607905499549
Moved to 481, 573 at time 1607905499583
Moved to 482, 572 at time 1607905499650
Moved to 483, 571 at time 1607905499684
Moved to 484, 570 at time 1607905499723
Moved to 485, 569 at time 1607905499761
Moved to 486, 568 at time 1607905499830
Moved to 487, 567 at time 1607905499864
Moved to 488, 566 at time 1607905499898
Attacked Unit@633b79ebat position 632, 293 at time 1607905501199
Attacked Unit@1fef17dbat position 568, 293 at time 1607905502875
Moved to 489, 558 at time 1607905503562
Moved to 490, 557 at time 1607905503597
Moved to 491, 556 at time 1607905503632
Moved to 492, 555 at time 1607905503666
Moved to 493, 553 at time 1607905503734
Moved to 494, 552 at time 1607905503801
Moved to 495, 551 at time 1607905503835
Moved to 494, 538 at time 1607905504383
Moved to 493, 537 at time 1607905504417
Moved to 492, 536 at time 1607905504451
Moved to 491, 535 at time 1607905504485
Moved to 490, 534 at time 1607905504552
Moved to 489, 533 at time 1607905504586
Moved to 488, 532 at time 1607905504620
Moved to 487, 531 at time 1607905504654
Moved to 486, 530 at time 1607905504689
Moved to 485, 529 at time 1607905504723
Moved to 484, 528 at time 1607905504758
Moved to 483, 527 at time 1607905504792
Moved to 482, 526 at time 1607905504827
Moved to 481, 525 at time 1607905504862
Moved to 480, 524 at time 1607905504929
Moved to 479, 523 at time 1607905504965
Moved to 478, 522 at time 1607905505033
Moved to 477, 521 at time 1607905505067
Moved to 476, 520 at time 1607905505101
Moved to 475, 519 at time 1607905505135
Moved to 474, 518 at time 1607905505169
Moved to 473, 517 at time 1607905505203
Moved to 472, 516 at time 1607905505237
Moved to 471, 515 at time 1607905505271
Moved to 470, 514 at time 1607905505306
Moved to 469, 513 at time 1607905505341
Moved to 468, 512 at time 1607905505378
Moved to 467, 511 at time 1607905505412
Moved to 466, 510 at time 1607905505446
Moved to 465, 509 at time 1607905505513
Moved to 464, 508 at time 1607905505547
Moved to 463, 507 at time 1607905505581
Moved to 462, 506 at time 1607905505615
Moved to 461, 505 at time 1607905505650
Moved to 460, 504 at time 1607905505685
Moved to 459, 503 at time 1607905505719
Moved to 458, 502 at time 1607905505753
Moved to 457, 501 at time 1607905505787
Moved to 456, 500 at time 1607905505821
Moved to 455, 499 at time 1607905505855
Moved to 454, 498 at time 1607905505891
Moved to 453, 497 at time 1607905505925
Moved to 452, 496 at time 1607905505959
Moved to 451, 495 at time 1607905505995
Moved to 450, 494 at time 1607905506029
Moved to 449, 493 at time 1607905506063
Moved to 448, 492 at time 1607905506097
Moved to 447, 491 at time 1607905506132
Moved to 446, 490 at time 1607905506167
Moved to 445, 489 at time 1607905506201
Moved to 444, 488 at time 1607905506235
Moved to 443, 487 at time 1607905506269
Moved to 442, 486 at time 1607905506336
Moved to 441, 485 at time 1607905506370
Moved to 440, 484 at time 1607905506406
Moved to 439, 483 at time 1607905506441
Moved to 438, 482 at time 1607905506476
Moved to 437, 481 at time 1607905506511
Moved to 436, 480 at time 1607905506545
Moved to 435, 479 at time 1607905506579
Moved to 434, 478 at time 1607905506613
Moved to 433, 477 at time 1607905506680
Moved to 432, 476 at time 1607905506716
Moved to 431, 475 at time 1607905506750
Moved to 430, 474 at time 1607905506784
Moved to 429, 473 at time 1607905506851
Moved to 428, 472 at time 1607905506885
Moved to 427, 471 at time 1607905506920
Moved to 426, 470 at time 1607905506954
Moved to 425, 469 at time 1607905506988
Moved to 424, 468 at time 1607905507022
Moved to 423, 467 at time 1607905507057
Moved to 422, 466 at time 1607905507091
Moved to 421, 465 at time 1607905507125
Moved to 420, 464 at time 1607905507159
Moved to 419, 463 at time 1607905507194
Moved to 418, 462 at time 1607905507229
Moved to 417, 461 at time 1607905507263
Moved to 416, 460 at time 1607905507297
Moved to 415, 459 at time 1607905507331
Moved to 414, 458 at time 1607905507365
Moved to 413, 457 at time 1607905507399
Moved to 412, 456 at time 1607905507466
Moved to 411, 455 at time 1607905507500
Moved to 410, 454 at time 1607905507534
Moved to 409, 453 at time 1607905507568
Moved to 408, 452 at time 1607905507603
Moved to 407, 451 at time 1607905507637
Moved to 406, 450 at time 1607905507704
Moved to 405, 449 at time 1607905507738
Moved to 404, 448 at time 1607905507772
Moved to 403, 447 at time 1607905507841
Moved to 402, 446 at time 1607905507877
Moved to 401, 445 at time 1607905507912
Moved to 400, 444 at time 1607905507946
Moved to 399, 443 at time 1607905507980
Moved to 398, 442 at time 1607905508014
Moved to 397, 441 at time 1607905508048
Moved to 396, 440 at time 1607905508082
Moved to 395, 439 at time 1607905508116
Moved to 394, 438 at time 1607905508151
Moved to 393, 437 at time 1607905508185
Moved to 392, 436 at time 1607905508219
Moved to 391, 435 at time 1607905508286
Moved to 390, 434 at time 1607905508320
Moved to 389, 433 at time 1607905508354
Moved to 388, 432 at time 1607905508388
Moved to 387, 431 at time 1607905508422
Moved to 386, 430 at time 1607905508458
Moved to 385, 429 at time 1607905508492
Moved to 384, 428 at time 1607905508527
Moved to 383, 427 at time 1607905508562
Moved to 382, 426 at time 1607905508597
Moved to 381, 425 at time 1607905508630
Moved to 380, 424 at time 1607905508664
Moved to 379, 423 at time 1607905508698
Moved to 378, 422 at time 1607905508732
Moved to 377, 421 at time 1607905508766
Moved to 376, 420 at time 1607905508800
Moved to 375, 419 at time 1607905508834
Moved to 374, 418 at time 1607905508868
Moved to 373, 417 at time 1607905508902
Moved to 372, 416 at time 1607905508936
Moved to 371, 415 at time 1607905508970
Moved to 370, 414 at time 1607905509037
Moved to 369, 413 at time 1607905509071
Moved to 368, 411 at time 1607905509139
Moved to 367, 408 at time 1607905509277
Moved to 366, 406 at time 1607905509345
Moved to 365, 404 at time 1607905509414
Moved to 364, 402 at time 1607905509482
Moved to 363, 400 at time 1607905509551
Moved to 362, 399 at time 1607905509619
Attacked Unit@19e90414at position 100, 100 at time 1607905509653
Attacked Unit@19e90414at position 100, 100 at time 1607905511322
Attacked Unit@19e90414at position 100, 100 at time 1607905512999
Moved to 361, 398 at time 1607905513035
