Attacked Unit@7dd253dfat position 442, 677 at time 1607904712418
Moved to 571, 571 at time 1607904760237
Moved to 572, 572 at time 1607904760290
Moved to 573, 573 at time 1607904760330
Moved to 574, 574 at time 1607904760376
Moved to 575, 575 at time 1607904760433
Moved to 576, 576 at time 1607904760470
Moved to 577, 577 at time 1607904760517
Moved to 578, 578 at time 1607904760569
Moved to 579, 579 at time 1607904760610
Moved to 580, 580 at time 1607904760660
Moved to 581, 581 at time 1607904760704
Moved to 582, 582 at time 1607904760753
Moved to 583, 583 at time 1607904760817
Moved to 584, 584 at time 1607904760852
Moved to 585, 585 at time 1607904760899
Moved to 586, 586 at time 1607904760948
Moved to 587, 587 at time 1607904761002
Moved to 588, 588 at time 1607904761064
Moved to 589, 589 at time 1607904761111
Attacked Unit@3de89982at position 834, 858 at time 1607904761146
Moved to 590, 590 at time 1607904761197
Moved to 591, 591 at time 1607904761233
Moved to 592, 592 at time 1607904761268
Moved to 593, 593 at time 1607904761335
Moved to 594, 594 at time 1607904761378
Moved to 595, 595 at time 1607904761417
Moved to 596, 596 at time 1607904761454
Moved to 597, 597 at time 1607904761502
Moved to 598, 598 at time 1607904761538
Moved to 599, 599 at time 1607904761586
Moved to 600, 600 at time 1607904761650
Moved to 601, 601 at time 1607904761687
Moved to 602, 602 at time 1607904761731
Moved to 603, 603 at time 1607904761788
Moved to 673, 604 at time 1607904764764
Moved to 674, 605 at time 1607904764799
Moved to 675, 606 at time 1607904764833
Moved to 676, 607 at time 1607904764868
Moved to 677, 608 at time 1607904764903
Moved to 678, 609 at time 1607904764937
Moved to 679, 610 at time 1607904764971
Moved to 680, 611 at time 1607904765005
Moved to 681, 612 at time 1607904765039
Moved to 682, 613 at time 1607904765073
Moved to 683, 614 at time 1607904765108
Moved to 684, 615 at time 1607904765142
Moved to 685, 616 at time 1607904765176
Moved to 686, 617 at time 1607904765213
Moved to 687, 618 at time 1607904765248
Moved to 688, 619 at time 1607904765282
Moved to 689, 620 at time 1607904765318
Moved to 690, 621 at time 1607904765354
Moved to 691, 622 at time 1607904765390
Moved to 692, 623 at time 1607904765424
Moved to 693, 624 at time 1607904765491
Moved to 694, 625 at time 1607904765528
Moved to 695, 626 at time 1607904765562
Moved to 696, 627 at time 1607904765596
Moved to 697, 628 at time 1607904765631
Moved to 698, 629 at time 1607904765699
Moved to 699, 630 at time 1607904765733
Moved to 700, 631 at time 1607904765767
Moved to 701, 632 at time 1607904765802
Moved to 702, 633 at time 1607904765836
Moved to 703, 634 at time 1607904765870
Moved to 704, 641 at time 1607904766145
Moved to 705, 642 at time 1607904766179
Moved to 706, 643 at time 1607904766214
Moved to 707, 644 at time 1607904766248
Moved to 708, 645 at time 1607904766282
Moved to 709, 646 at time 1607904766319
Moved to 710, 647 at time 1607904766354
Moved to 711, 648 at time 1607904766390
Moved to 712, 650 at time 1607904766461
Moved to 713, 651 at time 1607904766495
Moved to 714, 652 at time 1607904766529
Moved to 715, 653 at time 1607904766563
Moved to 716, 654 at time 1607904766597
Moved to 717, 655 at time 1607904766631
Moved to 718, 656 at time 1607904766665
Moved to 719, 657 at time 1607904766699
Moved to 720, 658 at time 1607904766734
Moved to 721, 658 at time 1607904766803
