Attacked Unit@44f7debfat position 1665, 569 at time 1607967053539
Moved to 1464, 371 at time 1607967124906
Moved to 1463, 370 at time 1607967125037
Moved to 1462, 369 at time 1607967125122
Moved to 1461, 368 at time 1607967125229
Moved to 1460, 367 at time 1607967125303
Moved to 1459, 366 at time 1607967125406
Moved to 1458, 365 at time 1607967125470
Moved to 1457, 364 at time 1607967125573
Moved to 1456, 363 at time 1607967125659
Moved to 1455, 362 at time 1607967125773
Moved to 1454, 361 at time 1607967125856
Moved to 1453, 360 at time 1607967125890
Moved to 1452, 359 at time 1607967125929
Moved to 1451, 358 at time 1607967125966
Moved to 1450, 357 at time 1607967126084
Moved to 1449, 356 at time 1607967126203
Moved to 1448, 355 at time 1607967126418
Moved to 1447, 354 at time 1607967126453
Moved to 1446, 353 at time 1607967126674
Moved to 1445, 352 at time 1607967126849
