Attacked Unit@7ddeb524at position 738, 12 at time 1607904712179
Moved to 897, 343 at time 1607904767221
Moved to 898, 344 at time 1607904767255
Moved to 899, 345 at time 1607904767289
Moved to 900, 346 at time 1607904767324
Moved to 901, 347 at time 1607904767358
Moved to 902, 348 at time 1607904767392
Moved to 903, 349 at time 1607904767427
Moved to 904, 350 at time 1607904767461
Moved to 905, 351 at time 1607904767495
Moved to 906, 352 at time 1607904767563
Moved to 907, 353 at time 1607904767597
Moved to 908, 354 at time 1607904767633
Moved to 909, 355 at time 1607904767667
Moved to 910, 356 at time 1607904767701
Moved to 911, 357 at time 1607904767735
Moved to 912, 358 at time 1607904767769
Moved to 913, 359 at time 1607904767804
Moved to 914, 360 at time 1607904767838
Moved to 915, 361 at time 1607904767872
Moved to 916, 362 at time 1607904767912
Moved to 917, 363 at time 1607904767948
Moved to 918, 364 at time 1607904767982
Moved to 919, 365 at time 1607904768018
Moved to 920, 366 at time 1607904768053
Moved to 921, 367 at time 1607904768087
Moved to 922, 368 at time 1607904768134
Moved to 923, 369 at time 1607904768168
