Moved to 485, 439 at time 1607905508015
Moved to 484, 438 at time 1607905508049
Moved to 483, 437 at time 1607905508083
Moved to 482, 436 at time 1607905508117
Moved to 481, 435 at time 1607905508151
Moved to 480, 434 at time 1607905508186
Moved to 479, 433 at time 1607905508220
Moved to 478, 432 at time 1607905508287
Moved to 477, 431 at time 1607905508321
Moved to 476, 430 at time 1607905508356
Moved to 475, 429 at time 1607905508390
Moved to 474, 428 at time 1607905508425
Moved to 473, 427 at time 1607905508459
Moved to 472, 426 at time 1607905508494
Moved to 471, 425 at time 1607905508528
Moved to 470, 424 at time 1607905508563
Moved to 469, 423 at time 1607905508597
Moved to 468, 422 at time 1607905508664
Moved to 467, 421 at time 1607905508698
Moved to 466, 420 at time 1607905508732
Moved to 465, 419 at time 1607905508767
Moved to 464, 418 at time 1607905508801
Moved to 463, 417 at time 1607905508835
Moved to 462, 416 at time 1607905508869
Moved to 461, 415 at time 1607905508903
Moved to 460, 414 at time 1607905508937
Moved to 459, 413 at time 1607905508971
Moved to 458, 412 at time 1607905509038
Moved to 457, 411 at time 1607905509072
Moved to 456, 410 at time 1607905509106
Moved to 455, 409 at time 1607905509140
Moved to 454, 408 at time 1607905509175
Moved to 453, 407 at time 1607905509210
Moved to 452, 406 at time 1607905509245
Moved to 451, 405 at time 1607905509281
Moved to 450, 404 at time 1607905509315
Moved to 449, 403 at time 1607905509382
Moved to 448, 402 at time 1607905509416
Moved to 447, 401 at time 1607905509450
Moved to 446, 400 at time 1607905509485
Moved to 445, 399 at time 1607905509519
Moved to 444, 398 at time 1607905509586
Moved to 443, 395 at time 1607905509692
Moved to 442, 394 at time 1607905509729
Moved to 441, 376 at time 1607905510418
Moved to 440, 375 at time 1607905510485
Moved to 439, 374 at time 1607905510519
Moved to 438, 354 at time 1607905511268
Moved to 437, 353 at time 1607905511302
Moved to 436, 352 at time 1607905511336
Moved to 435, 351 at time 1607905511370
Moved to 434, 350 at time 1607905511437
Moved to 433, 349 at time 1607905511471
Moved to 432, 348 at time 1607905511505
Moved to 431, 347 at time 1607905511539
Moved to 430, 346 at time 1607905511573
Moved to 429, 345 at time 1607905511607
Moved to 428, 344 at time 1607905511643
Moved to 427, 343 at time 1607905511677
Moved to 426, 342 at time 1607905511712
Moved to 425, 341 at time 1607905511747
Moved to 424, 339 at time 1607905511815
