Attacked Unit@786bb298at position 1015, 776 at time 1607905322149
Moved to 667, 737 at time 1607905483389
Moved to 666, 736 at time 1607905483452
Moved to 665, 735 at time 1607905483488
Moved to 664, 734 at time 1607905483539
Moved to 663, 733 at time 1607905483595
Moved to 662, 732 at time 1607905483640
Moved to 661, 731 at time 1607905483679
Moved to 660, 730 at time 1607905483724
Moved to 659, 729 at time 1607905483773
Moved to 658, 728 at time 1607905483832
Moved to 657, 727 at time 1607905483873
Moved to 656, 726 at time 1607905483927
Moved to 655, 725 at time 1607905483961
Moved to 654, 724 at time 1607905483996
Moved to 653, 723 at time 1607905484051
Moved to 652, 722 at time 1607905484095
Moved to 651, 721 at time 1607905484138
Attacked Unit@2b222fbaat position 546, 452 at time 1607905484178
Moved to 650, 720 at time 1607905484276
Moved to 649, 719 at time 1607905484328
Moved to 648, 718 at time 1607905484362
Moved to 647, 717 at time 1607905484414
Moved to 646, 716 at time 1607905484460
Moved to 645, 715 at time 1607905484510
Moved to 644, 714 at time 1607905484561
Moved to 643, 713 at time 1607905484596
Moved to 642, 712 at time 1607905484651
Moved to 641, 711 at time 1607905484691
Got attacked at 641, 711 by Unit@a9fd730 at time 1607905484712
Got attacked at 641, 711 by Unit@78e118f6 at time 1607905485673
Attacked Unit@a9fd730at position 390, 442 at time 1607905485885
Got attacked at 641, 711 by Unit@a9fd730 at time 1607905486408
Got attacked at 641, 711 by Unit@78e118f6 at time 1607905487307
Attacked Unit@a9fd730at position 390, 442 at time 1607905487556
Got attacked at 641, 711 by Unit@a9fd730 at time 1607905488091
Got attacked at 641, 711 by Unit@78e118f6 at time 1607905488990
Attacked Unit@a9fd730at position 390, 442 at time 1607905489243
Got attacked at 641, 711 by Unit@78e118f6 at time 1607905490674
Died at 641, 711 at time 1607905490696
